id,captain,ballkid,start,end,duration,team
1088,640,536,2023-07-29 09:11:57,2023-07-29 17:37:39,8:25:41.462707,1
1165,596,520,2023-07-29 09:22:24,2023-07-29 17:42:32,8:20:07.993315,9
1096,591,554,2023-07-29 09:13:40,2023-07-29 17:58:44,8:45:03.582007,2
1099,591,550,2023-07-29 09:13:47,2023-07-29 17:58:44,8:44:57.069095,2
1174,640,541,2023-07-29 09:25:01,2023-07-29 13:17:10,3:52:08.888194,1
1086,640,512,2023-07-29 09:11:52,2023-07-29 16:29:24,7:17:32.162709,1
1175,582,511,2023-07-29 09:25:02,2023-07-29 17:58:53,8:33:51.670964,3
1110,581,551,2023-07-29 09:15:37,2023-07-29 17:59:48,8:44:11.441312,4
1112,581,636,2023-07-29 09:15:37,2023-07-29 17:59:48,8:44:11.468882,4
1166,596,542,2023-07-29 09:23:12,2023-07-29 16:12:58,6:49:45.939365,9
1114,581,618,2023-07-29 09:15:42,2023-07-29 17:59:48,8:44:06.364030,4
1128,593,521,2023-07-29 09:17:42,2023-07-29 18:01:14,8:43:32.658511,5
1121,594,544,2023-07-29 09:17:30,2023-07-29 09:34:39,0:17:09.018611,5
1122,594,549,2023-07-29 09:17:30,2023-07-29 15:05:57,5:48:27.679470,5
1123,594,573,2023-07-29 09:17:30,2023-07-29 15:05:16,5:47:46.670735,5
1126,593,608,2023-07-29 09:17:36,2023-07-29 15:09:54,5:52:17.405885,5
1097,591,532,2023-07-29 09:13:40,2023-07-29 13:09:31,3:55:51.007441,2
1104,582,563,2023-07-29 09:14:35,2023-07-29 15:08:22,5:53:46.983435,3
1117,593,549,2023-07-29 09:17:25,2023-07-29 15:05:57,5:48:32.385468,5
1120,593,594,2023-07-29 09:17:30,2023-07-29 18:01:14,8:43:44.621178,5
1127,594,608,2023-07-29 09:17:36,2023-07-29 15:09:54,5:52:17.405885,5
1153,585,614,2023-07-29 09:20:14,2023-07-29 16:15:03,6:54:48.307407,7
1147,599,557,2023-07-29 09:19:42,2023-07-29 18:01:24,8:41:42.440472,7
1145,599,578,2023-07-29 09:19:33,2023-07-29 18:01:24,8:41:51.155964,7
1144,585,632,2023-07-29 09:19:29,2023-07-29 18:01:25,8:41:55.965051,7
1161,596,542,2023-07-29 09:21:24,2023-07-29 09:22:25,0:01:00.201221,9
1094,640,629,2023-07-29 09:12:51,2023-07-29 09:26:22,0:13:30.267123,1
1149,599,611,2023-07-29 09:19:53,2023-07-29 09:33:21,0:13:28.232917,7
1150,585,611,2023-07-29 09:19:53,2023-07-29 09:33:21,0:13:28.232917,7
1116,593,544,2023-07-29 09:17:25,2023-07-29 09:34:39,0:17:13.724609,5
1163,596,631,2023-07-29 09:21:45,2023-07-29 14:26:50,5:05:04.337809,9
1118,593,573,2023-07-29 09:17:25,2023-07-29 15:05:16,5:47:51.376733,5
1105,592,563,2023-07-29 09:14:35,2023-07-29 15:08:22,5:53:46.983435,3
1119,593,623,2023-07-29 09:17:25,2023-07-29 15:09:37,5:52:11.825689,5
1111,581,561,2023-07-29 09:15:37,2023-07-29 15:26:26,6:10:49.397254,4
1157,590,556,2023-07-29 09:20:58,2023-07-29 16:13:24,6:52:26.118001,8
1156,590,568,2023-07-29 09:20:53,2023-07-29 16:13:55,6:53:02.663843,8
1132,579,545,2023-07-29 09:18:33,2023-07-29 16:14:13,6:55:40.259582,6
1162,596,637,2023-07-29 09:21:28,2023-07-29 16:17:16,6:55:47.344368,9
1158,590,516,2023-07-29 09:21:02,2023-07-29 16:19:31,6:58:28.744744,8
1154,590,552,2023-07-29 09:20:25,2023-07-29 16:20:56,7:00:30.653578,8
1155,590,626,2023-07-29 09:20:41,2023-07-29 16:20:56,7:00:14.297589,8
1159,590,615,2023-07-29 09:21:11,2023-07-29 16:20:56,6:59:45.224386,8
1098,591,584,2023-07-29 09:13:40,2023-07-29 16:24:36,7:10:55.689673,2
1091,574,565,2023-07-29 09:12:24,2023-07-29 16:29:29,7:17:04.927376,1
1092,640,565,2023-07-29 09:12:24,2023-07-29 16:29:29,7:17:04.927376,1
1082,574,640,2023-07-29 09:11:31,2023-07-29 17:37:39,8:26:07.536396,1
1090,640,606,2023-07-29 09:12:09,2023-07-29 17:37:39,8:25:30.387514,1
1083,640,634,2023-07-29 09:11:31,2023-07-29 17:37:39,8:26:07.536396,1
1084,640,574,2023-07-29 09:11:31,2023-07-29 17:37:39,8:26:07.536396,1
1164,596,553,2023-07-29 09:22:15,2023-07-29 17:42:32,8:20:16.708923,9
1160,596,580,2023-07-29 09:21:18,2023-07-29 17:42:32,8:21:13.534809,9
1138,579,610,2023-07-29 09:18:54,2023-07-29 17:43:18,8:24:24.453159,6
1170,597,524,2023-07-29 09:24:31,2023-07-29 17:43:33,8:19:02.770419,10
1169,597,534,2023-07-29 09:24:28,2023-07-29 17:43:33,8:19:05.492952,10
1151,597,575,2023-07-29 09:20:06,2023-07-29 17:43:33,8:23:27.320998,10
1172,597,607,2023-07-29 09:24:48,2023-07-29 17:43:33,8:18:45.130394,10
1171,597,609,2023-07-29 09:24:46,2023-07-29 17:43:33,8:18:47.458499,10
1167,597,628,2023-07-29 09:23:26,2023-07-29 17:43:33,8:20:07.321732,10
1089,574,606,2023-07-29 09:12:09,2023-07-29 17:58:38,8:46:29.614772,1
1081,574,634,2023-07-29 08:55:48,2023-07-29 17:58:38,9:02:49.897163,1
