id,ballkid,duration,count
110818,555,0:00:00,0
106290,1,0:00:00,0
110820,557,"3 days, 13:06:00.870035",9
110817,554,"3 days, 13:55:16.050882",8
110828,567,0:00:00,0
110824,563,"2 days, 5:25:25.679493",7
110822,561,20:57:22.700290,3
110825,564,"1 day, 11:40:51.696367",4
110827,566,"2 days, 1:22:10.562457",7
110831,570,0:00:00,0
110829,568,21:59:53.780325,3
110832,571,"1 day, 20:30:20.194012",6
110835,574,"4 days, 8:42:04.189663",9
110902,634,"3 days, 9:10:30.985421",7
119608,639,"1 day, 19:53:26.922917",5
110900,637,"3 days, 1:02:42.078777",7
110901,632,"2 days, 22:33:04.943308",7
110823,562,"3 days, 12:27:27.223287",8
110833,572,"4 days, 3:32:03.452140",9
110903,636,"3 days, 20:49:52.959654",8
110821,558,"2 days, 1:07:00.244984",6
151258,640,"1 day, 0:56:26.084728",3
110826,565,"3 days, 7:45:50.447166",9
110819,556,"3 days, 16:30:20.435024",9
110830,569,0:00:00,0
217926,641,0:00:00,0
110780,515,"3 days, 1:38:01.121264",6
110781,516,"1 day, 8:51:33.778251",4
110784,520,"4 days, 10:49:11.047200",9
110778,513,"4 days, 5:43:04.205211",9
110783,518,"3 days, 3:23:50.300409",7
110777,512,21:39:39.602477,4
110863,603,23:36:38.972538,3
110838,577,18:14:23.067872,3
110865,605,"2 days, 2:39:51.670403",5
110867,607,"2 days, 2:14:04.579896",5
110834,573,"1 day, 6:18:22.149672",5
110859,599,"4 days, 6:40:57.738087",9
110836,575,"3 days, 11:16:33.887348",7
110842,581,"4 days, 7:08:34.647199",9
110861,601,22:34:19.421547,2
110868,608,"1 day, 22:23:54.546879",4
110839,578,"3 days, 17:09:35.445026",8
110843,582,"4 days, 3:04:01.971455",9
110862,602,23:43:35.889913,3
110864,604,9:36:14.308441,1
110866,606,"1 day, 5:58:36.674273",4
110860,600,13:13:02.989731,2
110841,580,"3 days, 6:10:13.915369",7
110869,617,"2 days, 13:32:40.894787",6
110870,559,"2 days, 23:24:18.236308",6
110840,579,"1 day, 4:25:58.131828",3
110779,514,"2 days, 20:06:41.050720",7
110782,517,20:02:43.013546,3
110837,576,0:00:00,0
110790,526,0:00:00,0
110789,525,"3 days, 17:43:18.595724",9
110785,521,"3 days, 20:29:12.639868",8
110793,529,"1 day, 5:19:55.218833",4
110799,535,"1 day, 22:00:58.362172",4
110795,531,0:00:00,0
110796,532,"2 days, 16:24:21.522763",6
110787,523,"1 day, 11:42:06.373704",3
110786,522,21:32:34.905134,3
110798,534,"4 days, 0:17:21.699094",8
110788,524,"3 days, 19:08:48.787385",9
110797,533,16:13:33.479555,2
110850,589,"2 days, 3:31:26.474164",7
110845,584,"2 days, 17:24:44.412595",7
110857,596,"3 days, 4:59:51.807355",9
110849,588,"1 day, 17:07:06.756014",7
110847,586,"1 day, 19:05:58.514664",6
110851,590,"2 days, 19:24:30.582219",7
110844,583,"3 days, 15:44:22.503070",9
110848,587,"2 days, 9:33:34.537799",7
110856,595,"1 day, 9:35:41.615152",5
110852,591,"4 days, 8:01:42.349707",9
110858,598,"1 day, 11:23:08.312234",5
110800,536,"2 days, 8:55:01.342787",7
110791,527,"3 days, 15:36:06.134546",8
110855,594,"3 days, 16:26:03.781322",7
110853,592,"4 days, 5:49:00.996692",9
110846,585,"3 days, 10:19:35.208692",8
110854,593,"3 days, 5:53:19.867071",8
110792,528,"2 days, 8:17:25.161223",6
110794,530,0:00:00,0
110891,622,"2 days, 6:37:07.771979",5
110811,548,"2 days, 8:24:46.554977",6
110806,543,0:00:00,0
110804,540,0:00:00,0
110803,539,0:00:00,0
110809,546,"1 day, 3:30:56.657116",5
110805,542,"1 day, 10:00:32.756812",5
110807,544,"3 days, 9:28:58.568605",7
110815,552,"3 days, 7:29:03.558170",9
110808,545,"1 day, 11:31:10.905563",5
110810,547,"1 day, 21:07:37.692048",6
110812,549,"2 days, 19:17:41.309764",7
110801,537,23:29:35.974132,2
110802,538,18:18:12.882163,2
110875,560,18:09:19.582734,4
110890,627,"1 day, 10:01:43.599146",5
110892,629,"2 days, 20:05:44.902884",7
110876,541,19:10:07.361398,4
110882,612,"2 days, 4:40:09.131920",5
110881,610,18:02:25.261168,3
110889,620,"3 days, 11:44:57.307328",7
110887,618,"1 day, 23:14:08.101666",4
110871,511,"1 day, 4:43:34.416176",3
110880,619,"2 days, 7:01:48.523648",5
110888,625,"3 days, 16:08:40.041283",8
110879,615,"3 days, 2:47:53.430107",7
110872,609,"1 day, 19:18:26.785034",5
110883,621,"1 day, 21:34:46.366044",5
110886,616,"2 days, 1:46:47.863101",5
110874,611,"3 days, 9:45:19.831883",6
110878,597,"3 days, 8:38:06.015927",8
110885,623,"2 days, 8:08:38.261382",6
110877,613,"3 days, 11:29:52.592384",7
110814,551,"3 days, 18:02:52.535118",8
110813,550,"3 days, 5:50:57.241306",8
110884,614,"1 day, 11:16:41.500973",5
110816,553,"4 days, 8:31:30.109045",9
110873,519,"2 days, 11:00:34.061738",6
110894,631,18:21:49.085601,3
110897,628,"3 days, 3:31:08.234347",7
110899,630,"1 day, 18:48:02.119899",5
110895,626,"3 days, 11:37:42.041733",7
110893,624,"1 day, 7:32:56.339928",4
110898,635,"3 days, 23:46:40.783851",8
110896,633,19:11:00.136289,3
110904,638,0:00:00,0
