id,ballkid,start,end,duration,is_first_checkin
894,572,2023-07-29 09:03:26,2023-07-29 22:11:24,13:07:58,1
850,544,2023-07-29 08:34:11,2023-07-29 18:01:35,9:27:24.242488,1
873,511,2023-07-29 08:49:48,2023-07-29 19:29:41,10:39:53,1
863,518,2023-07-29 08:42:48,2023-07-29 17:59:48,9:17:00.314516,1
849,582,2023-07-29 08:33:43,2023-07-29 17:58:53,9:25:10.672421,1
831,634,2023-07-29 08:18:43,2023-07-29 21:31:54,13:13:11,1
860,613,2023-07-29 08:41:01,2023-07-29 21:30:31,12:49:30,1
866,626,2023-07-29 08:45:51,2023-07-29 21:31:54,12:46:03,1
841,620,2023-07-29 08:27:56,2023-07-29 22:11:24,13:43:28,1
897,552,2023-07-29 09:04:51,2023-07-29 18:01:29,8:56:37.834280,1
857,581,2023-07-29 08:39:11,2023-07-29 22:10:48,13:31:37,1
888,584,2023-07-29 09:00:11,2023-07-29 16:24:36,7:24:24.679528,1
853,610,2023-07-29 08:36:14,2023-07-29 17:43:18,9:07:03.674307,1
822,632,2023-07-29 08:12:22,2023-07-29 20:54:03,12:41:41,1
905,522,2023-07-29 09:53:50,2023-07-29 16:12:30,6:18:40.836586,1
828,557,2023-07-29 08:16:48,2023-07-29 20:55:36,12:38:48,1
843,542,2023-07-29 08:29:45,2023-07-29 16:12:58,7:43:12.392846,1
846,536,2023-07-29 08:31:34,2023-07-29 22:11:24,13:39:50,1
871,630,2023-07-29 08:48:26,2023-07-29 17:59:49,9:11:22.092261,1
879,574,2023-07-29 08:55:14,2023-07-29 22:10:49,13:15:35,1
864,622,2023-07-29 08:43:21,2023-07-29 22:10:48,13:27:27,1
859,611,2023-07-29 08:40:29,2023-07-29 17:59:48,9:19:19.458312,1
838,556,2023-07-29 08:25:12,2023-07-29 16:13:24,7:48:11.637082,1
903,627,2023-07-29 09:39:29,2023-07-29 16:14:38,6:35:09.206081,1
840,568,2023-07-29 08:27:24,2023-07-29 16:13:55,7:46:31.279098,1
865,614,2023-07-29 08:44:09,2023-07-29 16:15:03,7:30:53.287154,1
819,621,2023-07-29 08:10:54,2023-07-29 17:58:54,9:48:00.003962,1
886,512,2023-07-29 08:58:52,2023-07-29 16:29:24,7:30:31.551421,1
842,637,2023-07-29 08:28:38,2023-07-29 16:17:16,7:48:37.757710,1
824,516,2023-07-29 08:14:03,2023-07-29 16:19:31,8:05:28.320962,1
858,608,2023-07-29 08:39:31,2023-07-29 22:10:48,13:31:17,1
906,639,2023-07-29 10:07:32,2023-07-29 22:10:48,12:03:16,1
