id,ballkid,court,count,duration
458022,1,Stadium,0,0:00:00
458023,1,Court 4,0,0:00:00
458024,1,Harris,0,0:00:00
458025,1,Court 5,0,0:00:00
458026,1,Grandstand,0,0:00:00
479231,529,Grandstand,2,2:00:00
479257,535,Stadium,3,3:00:00
479261,535,Grandstand,3,3:00:00
479163,515,Court 4,5,4:55:40.584688
479164,515,Harris,5,4:21:53.543827
479165,515,Court 5,2,2:00:00
479167,516,Stadium,2,2:00:00
479168,516,Court 4,4,3:01:06.646516
479288,542,Court 4,4,3:01:24.550227
479289,542,Harris,5,4:08:17.982335
479290,542,Court 5,2,2:00:00
479200,523,Court 5,1,1:00:00
479201,523,Grandstand,4,3:27:07.449812
479349,554,Harris,6,6:00:00
479350,554,Court 5,1,1:00:00
479351,554,Grandstand,5,5:00:00
479206,524,Grandstand,5,5:00:00
479247,533,Stadium,1,1:00:00
479248,533,Court 4,1,1:00:00
479249,533,Harris,2,2:00:00
479483,583,Court 4,4,3:58:31.924164
479486,583,Grandstand,3,2:31:54.895095
479388,564,Court 4,3,3:00:00
479389,564,Harris,5,4:34:57.780303
479422,571,Stadium,2,2:00:00
479423,571,Court 4,1,1:00:00
479424,571,Harris,4,4:00:00
479425,571,Court 5,2,2:00:00
479748,628,Court 4,4,3:57:50.238229
479284,540,Harris,0,0:00:00
479285,540,Court 5,0,0:00:00
479286,540,Grandstand,0,0:00:00
479187,521,Stadium,8,7:27:25.307305
479188,521,Court 4,4,2:57:22.996288
479189,521,Harris,6,6:00:00
479190,521,Court 5,2,1:50:51.515487
479191,521,Grandstand,6,6:00:00
479229,529,Harris,2,2:00:00
479230,529,Court 5,1,0:50:51.515487
479171,516,Grandstand,2,2:00:00
479291,542,Grandstand,3,2:14:01.904184
479197,523,Stadium,4,3:16:37.823410
479198,523,Court 4,4,4:00:00
479199,523,Harris,3,3:00:00
479365,557,Court 5,3,3:00:00
479337,552,Stadium,10,9:17:39.183728
479315,547,Court 5,3,2:51:51.153790
479316,547,Grandstand,0,0:00:00
479149,512,Harris,4,3:29:24.267868
479326,549,Grandstand,3,3:00:00
479267,537,Stadium,3,2:27:25.307305
479268,537,Court 4,1,1:00:00
479269,537,Harris,4,4:00:00
479749,628,Harris,4,4:00:00
479750,628,Court 5,2,1:50:51.515487
479751,628,Grandstand,10,8:24:07.736092
479553,598,Court 4,3,1:57:18.241198
479467,580,Stadium,13,11:03:34.960752
479468,580,Court 4,3,3:00:00
479295,543,Court 5,0,0:00:00
479296,543,Grandstand,0,0:00:00
479362,557,Stadium,11,11:00:00
479363,557,Court 4,4,4:00:00
479364,557,Harris,6,5:55:36.476433
479366,557,Grandstand,6,5:06:40.706641
479554,598,Harris,4,3:49:56.548858
479555,598,Court 5,1,1:00:00
479556,598,Grandstand,0,0:00:00
479712,627,Stadium,6,6:00:00
479713,627,Court 4,3,3:00:00
479714,627,Harris,2,1:57:56.759278
479715,627,Court 5,0,0:00:00
479623,609,Court 4,2,2:00:00
479624,609,Harris,2,2:00:00
479625,609,Court 5,3,3:00:00
479626,609,Grandstand,3,3:00:00
479775,634,Court 5,4,3:19:33.187199
479692,616,Stadium,5,5:00:00
479693,616,Court 4,1,1:00:00
479694,616,Harris,3,3:00:00
479742,633,Stadium,1,1:00:00
479743,633,Court 4,3,2:01:06.646516
479527,592,Stadium,15,13:44:03.130715
479528,592,Court 4,7,6:22:42.029172
479360,556,Court 5,2,1:55:55.341569
479361,556,Grandstand,4,4:00:00
479246,532,Grandstand,5,4:56:56.114985
479287,542,Stadium,3,1:46:38.559492
479177,518,Stadium,8,6:19:48.901560
479178,518,Court 4,4,4:00:00
479737,626,Stadium,7,7:00:00
479356,555,Grandstand,0,0:00:00
479738,626,Court 4,5,4:22:42.029172
479739,626,Harris,5,4:21:53.543827
479740,626,Court 5,2,2:00:00
479741,626,Grandstand,6,5:06:40.706641
479716,627,Grandstand,3,3:00:00
479642,541,Stadium,3,2:49:55.926823
479643,541,Court 4,2,2:00:00
479644,541,Harris,2,2:00:00
479645,541,Court 5,0,0:00:00
479646,541,Grandstand,3,2:56:56.114985
479292,543,Stadium,0,0:00:00
479293,543,Court 4,0,0:00:00
479294,543,Harris,0,0:00:00
479730,624,Court 5,2,1:16:58.768705
479731,624,Grandstand,4,4:00:00
479672,612,Stadium,4,3:10:10.787186
479673,612,Court 4,4,3:01:06.646516
479674,612,Harris,5,5:00:00
479675,612,Court 5,2,1:50:51.515487
479676,612,Grandstand,3,3:00:00
479710,620,Court 5,6,4:36:51.446910
479711,620,Grandstand,8,7:27:07.449812
479697,618,Stadium,5,3:15:10.312869
479698,618,Court 4,4,2:57:27.909293
479695,616,Court 5,2,1:16:58.768705
479696,616,Grandstand,4,3:56:56.114985
479762,637,Stadium,6,6:00:00
479763,637,Court 4,6,5:42:34.491651
479542,595,Stadium,2,1:10:11.252160
479543,595,Court 4,2,1:32:39.521279
479544,595,Harris,3,2:00:09.997208
479407,568,Stadium,1,1:00:00
479552,598,Stadium,2,1:31:36.355937
479699,618,Harris,5,4:57:54.293023
479622,609,Stadium,2,2:00:00
479297,544,Stadium,5,5:00:00
