id,start,end,team,court
1089,2023-07-29 10:00:00,,1,Stadium
1090,2023-07-29 10:00:00,,2,Court 4
1091,2023-07-29 10:00:00,,3,Harris
1092,2023-07-29 10:00:00,,4,Court 5
1093,2023-07-29 10:00:00,,5,Grandstand
1094,2023-07-29 11:00:00,,6,Stadium
1095,2023-07-29 11:00:00,,7,Court 4
1096,2023-07-29 11:00:00,,8,Harris
1097,2023-07-29 11:00:00,,9,Court 5
1098,2023-07-29 11:00:00,,10,Grandstand
1099,2023-07-29 12:00:00,,1,Grandstand
1100,2023-07-29 12:00:00,,2,Stadium
1101,2023-07-29 12:00:00,,3,Court 4
1102,2023-07-29 12:00:00,,4,Harris
1103,2023-07-29 12:00:00,,5,Court 5
1104,2023-07-29 13:00:00,,6,Grandstand
1105,2023-07-29 13:00:00,,7,Stadium
1106,2023-07-29 13:00:00,,8,Court 4
1107,2023-07-29 13:00:00,,9,Harris
1108,2023-07-29 13:00:00,,10,Court 5
1109,2023-07-29 14:00:00,,1,Court 5
1110,2023-07-29 14:00:00,,2,Grandstand
1111,2023-07-29 14:00:00,,3,Stadium
1112,2023-07-29 14:00:00,,4,Court 4
1113,2023-07-29 14:00:00,,5,Harris
1114,2023-07-29 15:00:00,,6,Court 5
1115,2023-07-29 15:00:00,,7,Grandstand
1116,2023-07-29 15:00:00,,8,Stadium
1117,2023-07-29 15:00:00,,9,Court 4
1118,2023-07-29 15:00:00,,10,Harris
1119,2023-07-29 16:00:00,,1,Harris
1120,2023-07-29 16:00:00,,2,Court 5
1121,2023-07-29 16:00:00,,3,Grandstand
1123,2023-07-29 16:00:00,,5,Court 4
1124,2023-07-29 17:00:00,,6,Harris
1125,2023-07-29 17:00:00,,7,Court 5
1126,2023-07-29 17:00:00,,8,Grandstand
1128,2023-07-29 17:00:00,,10,Court 4
1140,2023-07-29 20:00:00,,2,Court 4
1142,2023-07-29 20:00:00,,4,Court 5
1143,2023-07-29 20:00:00,,5,Grandstand
1176,2023-07-30 15:00:00,,0,Stadium
1181,2023-07-30 16:00:00,,0,Stadium
1172,2023-07-30 14:00:00,2023-07-30 14:16:37,3,Stadium
1610,2023-08-03 17:00:00,,0,Harris
1611,2023-08-03 17:00:00,,0,Court 4
1612,2023-08-03 17:00:00,,0,Court 5
1127,2023-07-29 17:00:00,,0,Stadium
1133,2023-07-29 18:00:00,,0,Stadium
1179,2023-07-30 16:00:00,,0,Harris
1174,2023-07-30 15:00:00,2023-07-30 15:57:56,5,Harris
1182,2023-07-30 17:00:00,,0,Court 4
1122,2023-07-29 16:00:00,2023-07-29 16:10:10,4,Stadium
1178,2023-07-30 16:00:00,2023-07-30 16:01:06,8,Court 4
1180,2023-07-30 16:00:00,2023-07-30 16:27:07,3,Grandstand
1135,2023-07-29 19:00:00,,3,Harris
1613,2023-08-03 17:00:00,,0,Stadium
1614,2023-08-03 17:00:00,,0,Grandstand
1136,2023-07-29 19:00:00,,4,Court 5
1137,2023-07-29 19:00:00,,5,Grandstand
1139,2023-07-29 20:00:00,,1,Stadium
1630,2023-08-03 21:00:00,,0,Court 5
1631,2023-08-03 21:00:00,,0,Grandstand
1632,2023-08-03 21:00:00,,0,Harris
1147,2023-07-29 21:00:00,,4,Court 5
1148,2023-07-29 21:00:00,,5,Grandstand
1633,2023-08-03 21:00:00,,0,Stadium
1634,2023-08-03 21:00:00,,0,Court 4
1138,2023-07-29 19:00:00,,1,Stadium
1134,2023-07-29 19:00:00,,2,Court 4
1129,2023-07-29 18:00:00,,0,Court 4
1130,2023-07-29 18:00:00,,0,Harris
1131,2023-07-29 18:00:00,,0,Court 5
1132,2023-07-29 18:00:00,,0,Grandstand
