id,ballkid,team,start,end,duration
817,542,9,2023-07-29 09:21:24,2023-07-29 09:22:25,0:01:00.198242
761,629,1,2023-07-29 09:12:51,2023-07-29 09:26:22,0:13:30.263023
807,611,7,2023-07-29 09:19:53,2023-07-29 09:33:21,0:13:28.230461
783,544,5,2023-07-29 09:17:08,2023-07-29 09:34:39,0:17:30.898585
841,611,1,2023-07-29 09:33:30,2023-07-29 09:35:28,0:01:57.999338
843,611,2,2023-07-29 09:35:28,2023-07-29 09:37:05,0:01:36.698290
848,627,2,2023-07-29 09:40:36,2023-07-29 09:40:57,0:00:20.865063
765,532,2,2023-07-29 09:13:28,2023-07-29 13:09:31,3:56:02.730663
829,541,1,2023-07-29 09:25:01,2023-07-29 13:17:10,3:52:08.885869
837,583,8,2023-07-29 09:28:46,2023-07-29 14:20:54,4:52:07.736377
819,631,9,2023-07-29 09:21:45,2023-07-29 14:26:50,5:05:04.337136
781,573,5,2023-07-29 09:16:42,2023-07-29 15:05:16,5:48:34.303339
782,549,5,2023-07-29 09:16:51,2023-07-29 15:05:57,5:49:06.700197
771,563,3,2023-07-29 09:14:35,2023-07-29 15:08:22,5:53:46.978930
784,623,5,2023-07-29 09:17:19,2023-07-29 15:09:37,5:52:17.258601
787,608,5,2023-07-29 09:17:36,2023-07-29 15:09:54,5:52:17.403382
836,523,7,2023-07-29 09:28:35,2023-07-29 16:11:36,6:43:00.444089
851,522,8,2023-07-29 09:56:17,2023-07-29 16:12:30,6:16:13.073740
822,542,9,2023-07-29 09:23:12,2023-07-29 16:12:58,6:49:45.937127
813,556,8,2023-07-29 09:20:58,2023-07-29 16:13:24,6:52:26.116668
812,568,8,2023-07-29 09:20:53,2023-07-29 16:13:55,6:53:02.662441
790,545,6,2023-07-29 09:18:16,2023-07-29 16:14:13,6:55:56.560608
809,614,7,2023-07-29 09:20:14,2023-07-29 16:15:03,6:54:48.310629
818,637,9,2023-07-29 09:21:28,2023-07-29 16:17:16,6:55:47.337518
814,516,8,2023-07-29 09:21:02,2023-07-29 16:19:31,6:58:28.742688
800,590,8,2023-07-29 09:19:21,2023-07-29 16:20:56,7:01:34.239367
