id,ballkid,captain,year,count,duration
3930,535,577,2024,1,5:16:27.380632
3929,514,591,2024,1,2:00:00
3928,592,575,2024,1,3:00:00
3927,575,592,2024,1,3:00:00
3926,524,597,2024,1,3:00:00
3925,524,596,2024,1,3:00:00
3924,635,596,2024,1,3:00:00
3923,513,596,2024,1,3:00:00
3922,528,590,2024,1,3:00:00
3921,626,572,2024,1,3:00:00
3920,518,590,2024,1,3:00:00
3919,525,574,2024,1,2:22:44.009517
3918,572,574,2024,3,8:22:44.052729
3917,572,590,2024,2,5:22:43.848666
3916,574,572,2024,3,8:22:44.052729
3915,590,572,2024,2,5:22:43.848666
3914,524,572,2024,1,2:22:43.924626
3913,534,572,2024,2,5:22:43.482744
3912,534,590,2024,2,5:22:43.482744
3911,619,577,2024,1,5:40:17.442267
3910,616,596,2024,1,3:00:00
3909,562,592,2024,1,1:00:00
3908,575,596,2024,2,6:00:00
3907,596,575,2024,2,6:00:00
3906,536,575,2024,2,6:00:00
3905,626,575,2024,1,3:00:00
3904,556,592,2024,1,3:00:00
3903,514,643,2024,1,3:00:00
3902,556,643,2024,1,3:00:00
3901,635,643,2024,1,3:00:00
3900,552,596,2024,1,3:00:00
3899,552,575,2024,1,3:00:00
3898,558,574,2024,2,5:22:43.749356
3897,558,572,2024,2,5:22:43.749356
3896,597,596,2024,2,6:00:00
3895,596,597,2024,2,6:00:00
3894,515,597,2024,1,3:00:00
3893,591,590,2024,1,2:22:43.569190
3892,590,591,2024,1,2:22:43.569190
3891,534,591,2024,1,2:22:43.482744
3890,636,577,2024,1,5:50:35.742844
3889,518,643,2024,1,3:00:00
3888,551,590,2024,2,2:55:55.287899
3887,673,592,2024,1,1:00:00
3886,528,592,2024,1,1:00:00
3885,620,597,2024,1,1:00:00
3884,635,592,2024,3,7:00:00
3883,626,599,2024,1,1:00:00
3882,684,599,2024,1,2:00:00
3881,681,643,2024,1,3:00:00
3880,528,643,2024,1,3:00:00
3879,640,599,2024,1,2:00:00
3878,599,640,2024,1,2:00:00
3877,636,643,2024,1,1:00:00
3876,676,590,2024,1,2:00:00
3875,551,643,2024,1,3:00:00
3874,629,572,2024,1,2:00:00
3873,574,597,2024,2,1:00:40.865259
3872,574,575,2024,1,1:00:00
3871,597,574,2024,2,1:00:40.865259
3870,613,574,2024,1,1:00:00
3869,661,574,2024,1,1:00:00
3868,554,574,2024,1,2:00:00
3867,670,574,2024,1,1:00:00
3866,575,574,2024,1,1:00:00
3865,661,590,2024,1,3:33:11.439233
3864,613,590,2024,1,3:00:00
3863,679,591,2024,1,3:00:00
3862,552,591,2024,2,5:00:00
3861,662,597,2024,2,3:00:40.865259
3860,656,597,2024,2,3:00:40.865259
3859,534,597,2024,2,3:00:40.865259
3858,534,575,2024,1,1:00:00
3857,520,577,2024,1,2:49:38.884407
3856,535,596,2024,1,4:00:00
3855,572,643,2024,1,3:00:00
3854,528,572,2024,2,6:00:00
3853,617,572,2024,1,2:00:00
3852,643,572,2024,1,3:00:00
3851,592,577,2024,1,2:49:38.884407
3850,577,592,2024,1,2:49:38.884407
3849,520,592,2024,2,5:49:38.884407
3848,513,574,2024,2,3:00:00
3847,640,596,2024,1,4:00:00
3846,596,640,2024,1,4:00:00
3845,684,640,2024,1,4:00:00
3844,680,640,2024,1,2:00:00
3843,525,640,2024,1,4:00:00
3842,619,643,2024,1,3:00:00
3841,619,572,2024,1,3:00:00
3840,674,592,2024,1,3:49:38.884407
3839,674,577,2024,1,2:49:38.884407
3838,616,577,2024,1,2:49:38.884407
3837,635,574,2024,1,1:00:00
3836,614,577,2024,1,2:49:38.884407
3835,614,592,2024,1,2:49:38.884407
3834,599,591,2024,1,2:00:00
3833,591,599,2024,1,2:00:00
3832,515,599,2024,1,2:00:00
3831,613,599,2024,2,6:50:35.798599
3830,613,591,2024,1,1:00:00
3829,668,572,2024,1,0:18:06.586520
3828,536,582,2024,1,0:18:06.136459
3827,620,572,2024,2,3:18:06.549274
3826,635,683,2024,1,1:00:00
3825,592,596,2024,2,4:00:00
3824,596,592,2024,2,4:00:00
3823,584,596,2024,1,1:00:00
3822,648,592,2024,1,1:00:00
3821,565,592,2024,1,1:00:00
3820,565,596,2024,1,1:00:00
3819,525,596,2024,3,8:00:00
3818,662,644,2024,1,4:09:17.586873
3817,536,644,2024,1,4:09:17.586873
3816,520,644,2024,1,4:00:00
3815,551,644,2024,1,4:09:17.586873
3814,649,644,2024,1,3:09:17.586873
3813,556,644,2024,1,0:09:17.586873
3812,626,644,2024,1,0:09:17.586873
3811,572,597,2024,1,1:00:00
3810,597,572,2024,1,1:00:00
3809,590,639,2024,1,0:23:05.843834
3808,590,575,2024,2,3:23:05.843834
3807,639,590,2024,1,0:23:05.843834
3806,575,590,2024,2,3:23:05.843834
3805,513,590,2024,1,0:23:05.843834
3804,635,590,2024,2,4:00:00
3803,680,590,2024,1,0:23:05.843834
3802,680,639,2024,1,0:23:05.843834
3801,560,644,2024,1,0:55:26.020137
3800,650,590,2024,1,0:23:05.843834
3799,622,577,2024,1,0:01:47.920824
3798,524,592,2024,3,5:00:00
3797,554,591,2024,1,3:00:00
3796,622,643,2024,1,0:01:47.920824
3795,521,590,2024,2,2:45:49.268090
3794,524,595,2024,1,1:00:00
3793,683,599,2024,1,2:00:00
3792,636,683,2024,1,2:00:00
3791,599,683,2024,1,2:00:00
3790,628,599,2024,1,2:00:00
3789,544,639,2024,1,1:00:00
3788,615,582,2024,1,5:18:05.930940
3787,640,595,2024,1,1:00:00
3786,595,640,2024,1,1:00:00
3785,577,643,2024,1,3:02:34.062262
3784,643,577,2024,1,3:02:34.062262
3783,565,577,2024,1,3:02:34.062262
3782,613,577,2024,2,8:53:09.805106
3781,564,577,2024,1,3:02:34.062262
3780,654,591,2024,1,1:00:00
3779,544,592,2024,1,1:00:00
3778,590,595,2024,1,1:00:00
3777,595,590,2024,1,1:00:00
3776,524,590,2024,2,5:22:43.848666
3775,544,590,2024,1,2:00:00
3774,667,577,2024,1,2:00:00
3773,639,575,2024,1,2:23:05.843834
3772,575,639,2024,1,2:23:05.843834
3771,675,577,2024,1,3:02:34.062262
3770,635,639,2024,1,1:00:00
3769,617,577,2024,1,3:02:34.062262
3768,614,644,2024,1,2:00:00
3767,668,596,2024,2,2:56:42.279950
3766,684,596,2024,3,8:00:00
3765,678,590,2024,1,3:00:00
3764,678,595,2024,1,1:00:00
3763,545,577,2024,1,3:00:00
3762,545,643,2024,1,3:00:00
3761,676,644,2024,1,4:09:17.586873
3760,514,595,2024,1,1:00:00
3759,597,575,2024,3,7:00:00
3758,575,597,2024,3,7:00:00
3757,621,582,2024,1,5:00:00
3756,619,592,2024,2,4:00:00
3755,679,595,2024,1,1:00:00
3754,679,592,2024,1,1:00:00
3753,558,590,2024,2,5:22:43.749356
3752,558,595,2024,1,1:00:00
3751,581,590,2024,1,1:00:00
3750,581,592,2024,1,1:00:00
3749,678,581,2024,1,1:00:00
3748,619,581,2024,1,1:00:00
3747,524,581,2024,1,2:00:00
3746,514,581,2024,1,2:00:00
3745,590,581,2024,1,1:00:00
3744,592,581,2024,1,1:00:00
3743,679,581,2024,1,2:00:00
3742,544,581,2024,1,2:00:00
3741,683,591,2024,1,4:00:00
3740,583,683,2024,1,4:00:00
3739,515,683,2024,1,4:00:00
3738,591,683,2024,1,4:00:00
3737,648,683,2024,1,3:00:00
3736,667,683,2024,1,1:00:00
3735,617,683,2024,1,1:00:00
3734,675,683,2024,1,1:00:00
3733,674,582,2024,1,5:18:06.136459
3732,556,591,2024,2,3:00:00
3731,515,644,2024,1,1:00:00
3730,640,590,2024,1,3:00:00
3729,640,581,2024,1,2:00:00
3728,640,592,2024,1,1:00:00
3727,678,640,2024,1,3:50:03.264707
3726,524,640,2024,1,4:50:03.264707
3725,619,640,2024,1,1:00:00
3724,581,640,2024,1,2:00:00
3723,514,640,2024,2,8:00:00
3722,590,640,2024,1,3:00:00
3721,592,640,2024,1,1:00:00
3720,679,640,2024,1,4:00:00
3719,648,590,2024,1,0:31:29.596735
3718,616,582,2024,1,5:00:00
3717,681,597,2024,1,0:09:57.553777
3716,521,597,2024,2,1:09:57.553777
3715,596,591,2024,1,1:00:00
3714,591,596,2024,1,1:00:00
3713,673,596,2024,1,1:00:00
3712,528,596,2024,2,7:00:00
3711,681,596,2024,1,4:00:00
3710,613,643,2024,1,4:02:34.213847
3709,617,643,2024,2,6:02:34.185718
3708,667,643,2024,1,3:00:00
3707,564,643,2024,1,4:02:34.131462
3706,565,643,2024,1,4:02:34.244483
3705,518,599,2024,1,1:00:00
3704,648,599,2024,2,2:00:00
3703,558,599,2024,1,1:00:00
3702,660,640,2024,1,1:00:00
3701,660,581,2024,1,1:00:00
3700,572,582,2024,1,5:18:06.136459
3699,616,572,2024,1,5:00:00
3698,682,572,2024,1,5:00:00
3697,674,572,2024,1,5:18:06.469435
3696,582,572,2024,1,5:18:06.136459
3695,518,572,2024,2,3:58:38.859410
3694,575,599,2024,1,1:00:00
3693,551,575,2024,1,1:00:00
3692,599,575,2024,1,1:00:00
3691,661,575,2024,2,7:42:13.773166
3690,525,575,2024,2,3:59:59.719443
3689,650,575,2024,1,4:23:05.843834
3688,521,575,2024,1,4:23:05.843834
3687,630,575,2024,1,3:00:00
3686,518,575,2024,1,5:00:00
3685,592,597,2024,2,3:09:57.553777
3684,597,592,2024,2,3:09:57.553777
3683,521,592,2024,2,0:27:16.045616
3682,513,592,2024,3,6:25:06.691387
3681,577,599,2024,2,6:50:35.742844
3680,684,577,2024,1,0:55:05.799178
3679,551,577,2024,1,1:00:00
3678,599,577,2024,2,6:50:35.742844
3677,649,577,2024,1,0:55:05.799178
3676,554,577,2024,2,1:55:05.799178
3675,682,577,2024,1,0:55:05.799178
3674,679,577,2024,2,1:55:05.799178
3673,558,577,2024,1,2:00:00
3672,639,597,2024,1,0:09:57.553777
3671,521,639,2024,2,2:50:17.415382
3670,597,639,2024,1,0:09:57.553777
3669,513,639,2024,2,2:48:12.535221
3668,536,577,2024,1,0:55:05.799178
3667,620,639,2024,1,0:13:38.554385
3666,615,599,2024,1,1:00:00
3665,634,683,2024,1,0:35:08.101164
3664,621,639,2024,1,0:27:16.720041
3663,611,639,2024,1,0:25:03.328248
3662,647,639,2024,1,0:01:30.192400
3661,629,599,2024,2,6:50:35.798599
3660,636,582,2024,1,1:49:11.918349
3659,617,640,2024,1,5:00:00
3658,612,640,2024,2,2:00:00
3657,668,640,2024,1,1:00:00
3656,560,582,2024,1,1:49:11.885501
3655,572,639,2024,1,0:03:19.479478
3654,639,572,2024,1,0:03:19.479478
3653,611,572,2024,2,1:00:13.887653
3652,513,572,2024,2,0:19:16.037344
3651,572,592,2024,2,0:37:26.645586
3650,681,572,2024,3,3:37:26.736461
3649,525,572,2024,3,3:00:10.745978
3648,592,572,2024,2,0:37:26.645586
3647,534,643,2024,2,8:02:34.026628
3646,626,643,2024,1,2:00:00
3645,591,592,2024,1,0:32:21.558282
3644,591,640,2024,1,2:00:00
3643,681,591,2024,2,1:32:21.558282
3642,525,591,2024,2,2:55:05.127472
3641,592,591,2024,1,0:32:21.558282
3640,622,591,2024,3,4:02:05.945635
3639,640,591,2024,1,2:00:00
3638,521,640,2024,1,1:00:00
3637,628,640,2024,1,1:00:00
3636,549,575,2024,1,0:59:54.320064
3635,596,590,2024,1,0:31:29.596735
3634,596,599,2024,2,3:00:00
3633,648,596,2024,3,3:00:00
3632,590,596,2024,1,0:31:29.596735
3631,554,596,2024,3,7:00:00
3630,599,596,2024,2,3:00:00
3629,670,596,2024,1,1:00:00
3628,551,640,2024,1,1:00:00
3627,535,640,2024,2,5:00:00
3626,536,643,2024,2,5:00:00
3625,536,640,2024,1,2:00:00
3624,515,572,2024,1,0:32:21.704575
3623,634,639,2024,1,0:35:08.101164
3622,647,572,2024,2,0:35:34.441511
3621,647,591,2024,1,0:32:21.558282
3620,674,639,2024,1,0:35:08.101164
3619,583,599,2024,3,8:50:35.798599
3618,583,596,2024,3,4:27:56.744627
3617,620,596,2024,3,5:00:00
3616,663,582,2024,1,1:49:11.918349
3615,660,639,2024,1,0:35:08.101164
3614,660,683,2024,1,0:35:08.101164
3613,661,683,2024,1,1:22:03.684474
3612,654,683,2024,1,1:22:30.633794
3611,564,683,2024,2,2:57:38.734958
3610,603,683,2024,1,0:22:30.633794
3609,649,575,2024,1,1:00:00
3608,649,683,2024,1,1:35:08.101164
3607,639,683,2024,1,1:35:08.101164
3606,661,639,2024,2,2:41:46.823846
3605,654,639,2024,1,1:00:00
3604,683,639,2024,1,1:35:08.101164
3603,532,639,2024,1,1:35:08.101164
3602,649,639,2024,1,1:35:08.101164
3601,552,683,2024,1,1:57:38.734958
3600,679,594,2024,1,2:00:00
3599,679,599,2024,1,0:59:48.159343
3598,679,596,2024,2,1:59:48.159343
3597,624,574,2024,1,1:00:00
3596,520,574,2024,3,7:00:00
3595,601,574,2024,1,1:00:00
3594,524,574,2024,2,3:22:43.924626
3593,549,590,2024,2,2:31:35.276671
3592,674,599,2024,1,1:00:00
3591,514,599,2024,2,3:00:00
3590,577,575,2024,1,3:00:00
3589,678,577,2024,1,3:00:00
3588,575,577,2024,1,3:00:00
3587,630,577,2024,1,1:00:00
3586,629,577,2024,2,8:50:35.742844
3585,518,577,2024,3,6:44:44.683585
3584,615,577,2024,1,2:00:00
3583,549,577,2024,2,6:49:11.615751
3582,542,639,2024,1,1:00:00
3581,616,639,2024,1,0:02:00.451851
3580,634,596,2024,1,3:00:00
3579,613,640,2024,2,6:00:00
3578,670,575,2024,3,9:22:32.355600
3577,665,572,2024,1,2:45:11.595999
3576,613,572,2024,1,3:00:00
3575,612,572,2024,1,3:00:00
3574,628,572,2024,1,3:00:00
3573,659,577,2024,2,3:55:05.799178
3572,616,683,2024,1,0:02:00.451851
3571,565,597,2024,3,3:07:03.449278
3570,554,597,2024,5,6:16:31.097804
3569,684,597,2024,1,"-1 day, 22:06:22.584019"
3568,676,597,2024,1,0:06:22.584019
3567,545,597,2024,1,"-1 day, 22:44:08.760143"
3566,682,597,2024,2,0:06:22.584019
3565,601,597,2024,1,1:12:15.836527
3564,680,597,2024,1,0:06:22.584019
3563,668,582,2024,2,1:18:06.136459
3562,659,575,2024,1,5:00:00
3561,616,590,2024,1,2:00:00
3560,514,596,2024,2,7:00:00
3559,656,643,2024,2,5:00:00
3558,656,574,2024,2,3:00:00
3557,614,683,2024,1,0:22:30.633794
3556,556,596,2024,2,6:00:00
3555,542,683,2024,1,1:22:30.633794
3554,511,590,2024,1,2:00:00
3553,586,575,2024,1,2:00:00
3552,673,643,2024,2,7:00:00
3551,662,643,2024,1,4:00:00
3550,619,596,2024,1,2:00:00
3549,635,582,2024,1,4:49:11.918349
3548,558,582,2024,1,3:00:00
3547,581,572,2024,1,2:36:17.702777
3546,665,581,2024,1,2:36:17.702777
3545,572,581,2024,1,2:36:17.702777
3544,613,581,2024,1,2:36:17.702777
3543,521,581,2024,1,2:36:17.702777
3542,612,581,2024,2,3:36:17.702777
3541,628,581,2024,1,2:36:17.702777
3540,619,575,2024,1,1:00:00
3539,621,592,2024,2,4:01:30.240956
3538,663,640,2024,1,2:00:00
3537,513,597,2024,6,7:17:01.003055
3536,639,594,2024,1,1:53:19.005717
3535,630,639,2024,1,1:53:19.005717
3534,594,639,2024,1,1:53:19.005717
3533,636,639,2024,1,1:00:00
3532,666,582,2024,1,3:00:00
3531,515,592,2024,2,7:22:00.524003
3530,626,591,2024,3,7:00:00
3529,672,591,2024,1,3:00:00
3528,664,591,2024,1,3:00:00
3527,609,591,2024,1,3:00:00
3526,611,597,2024,2,0:16:20.137796
3525,554,590,2024,2,2:32:34.185541
3524,558,639,2024,1,1:53:19.005717
3523,564,599,2024,1,"-1 day, 23:51:18.036440"
3522,665,599,2024,1,"-1 day, 23:51:18.036440"
3521,521,599,2024,1,"-1 day, 23:51:18.036440"
3520,629,683,2024,1,0:38:52.053351
3519,532,683,2024,3,4:56:22.428613
3518,535,591,2024,1,1:00:00
3517,583,591,2024,3,8:36:18.110086
3516,562,590,2024,1,1:00:00
3515,525,590,2024,2,5:43:01.133655
3514,619,590,2024,1,3:20:17.284989
3513,621,590,2024,1,3:20:17.284989
3512,520,590,2024,1,1:00:00
3511,657,590,2024,1,2:00:00
3510,574,591,2024,2,3:22:43.569190
3509,565,574,2024,2,3:00:00
3508,591,574,2024,2,3:22:43.569190
3507,535,574,2024,1,1:00:00
3506,643,683,2024,2,3:00:00
3505,654,643,2024,1,0:56:54.108508
3504,675,643,2024,2,4:59:28.222180
3503,611,643,2024,1,0:56:53.842453
3502,683,643,2024,2,3:00:00
3501,532,643,2024,1,4:00:00
3500,681,640,2024,1,5:00:00
3499,545,591,2024,1,1:00:00
3498,545,574,2024,1,1:00:00
3497,520,597,2024,1,1:00:00
3496,684,643,2024,2,4:56:54.108508
3495,611,577,2024,1,2:00:00
3494,648,577,2024,2,4:55:05.799178
3493,583,577,2024,2,9:42:29.780850
3492,656,683,2024,3,5:58:43.693655
3491,678,574,2024,1,1:00:00
3490,678,591,2024,1,1:00:00
3489,670,683,2024,1,0:58:43.693655
3488,609,639,2024,1,0:53:19.005717
3487,609,594,2024,1,3:00:00
3486,549,640,2024,2,5:38:38.378748
3485,554,643,2024,2,1:56:53.887895
3484,536,639,2024,1,1:53:19.005717
3483,672,639,2024,1,1:53:19.005717
3482,620,640,2024,1,1:00:00
3481,592,643,2024,2,3:56:53.933336
3480,611,592,2024,3,6:41:47.371897
3479,643,592,2024,2,3:56:53.933336
3478,584,592,2024,2,3:16:44.134532
3477,684,592,2024,2,1:56:53.933336
3476,664,599,2024,1,"-1 day, 23:51:18.036440"
3475,545,572,2024,1,2:48:12.274619
3474,622,572,2024,2,2:50:18.220254
3473,647,592,2024,3,1:32:28.283972
3472,660,643,2024,1,2:00:00
3471,676,572,2024,1,2:48:12.274619
3470,560,575,2024,1,1:36:49.021465
3469,629,574,2024,1,3:00:00
3468,552,574,2024,1,4:00:00
3467,551,574,2024,3,7:22:44.230446
3466,636,599,2024,3,8:50:35.798599
3465,680,683,2024,1,2:00:00
3464,584,643,2024,3,3:56:54.026418
3463,615,591,2024,2,3:36:52.998354
3462,581,574,2024,1,3:45:16.358495
3461,629,581,2024,1,2:45:16.358495
3460,552,581,2024,1,3:45:16.358495
3459,662,581,2024,1,3:00:00
3458,574,581,2024,1,3:45:16.358495
3457,551,581,2024,2,6:21:34.061272
3456,601,640,2024,1,4:00:00
3455,518,581,2024,1,3:45:16.358495
3454,661,572,2024,1,2:48:12.274619
3453,624,643,2024,2,5:00:00
3452,624,683,2024,1,1:00:00
3451,678,639,2024,1,1:53:19.005717
3450,678,594,2024,1,4:00:00
3449,511,643,2024,1,3:38:29.006014
3448,529,639,2024,1,0:53:19.005717
3447,668,577,2024,3,3:55:05.799178
3446,672,594,2024,1,4:00:00
3445,513,577,2024,1,4:00:00
3444,670,577,2024,3,5:54:32.310944
3443,682,591,2024,1,3:39:32.581636
3442,562,572,2024,1,2:48:12.274619
3441,583,575,2024,2,8:36:18.110086
3440,515,575,2024,2,7:46:54.308432
3439,615,575,2024,3,8:36:52.998354
3438,635,591,2024,2,4:46:01.360413
3437,656,577,2024,1,4:00:00
3436,616,592,2024,2,6:49:38.884407
3435,554,592,2024,3,8:56:53.887895
3434,675,592,2024,1,4:56:53.933336
3433,649,592,2024,1,4:00:00
3432,667,592,2024,2,5:00:00
3431,608,683,2024,1,0:01:54.522998
3430,618,683,2024,1,0:01:54.522998
3429,558,594,2024,1,3:00:00
3428,596,572,2024,1,3:00:00
3427,572,596,2024,1,3:00:00
3426,661,596,2024,1,3:00:00
3425,676,596,2024,1,3:00:00
3424,520,596,2024,1,3:00:00
3423,562,596,2024,1,3:00:00
