id,captain,ballkid,start,end,duration,team
11558,574,626,2024-08-04 12:23:19,2024-08-04 22:06:48,9:43:29.032732,2
11557,572,626,2024-08-04 12:23:19,2024-08-04 22:06:48,9:43:29.032732,2
11556,590,626,2024-08-04 12:23:19,2024-08-04 22:06:48,9:43:29.032732,2
11555,597,596,2024-08-04 11:46:39,2024-08-04 22:06:47,10:20:08.528385,3
11554,597,575,2024-08-04 11:46:39,2024-08-04 22:06:47,10:20:08.528385,3
11553,597,536,2024-08-04 11:46:39,2024-08-04 22:06:47,10:20:08.528385,3
11552,597,635,2024-08-04 11:46:39,2024-08-04 22:06:47,10:20:08.528385,3
11551,597,524,2024-08-04 11:46:39,2024-08-04 22:06:47,10:20:08.528385,3
11550,597,513,2024-08-04 11:46:39,2024-08-04 22:06:47,10:20:08.528385,3
11549,597,525,2024-08-04 11:46:39,2024-08-04 22:06:47,10:20:08.528385,3
11548,597,554,2024-08-04 11:46:39,2024-08-04 22:06:47,10:20:08.528385,3
11547,597,592,2024-08-04 11:46:39,2024-08-04 22:06:47,10:20:08.528385,3
11546,596,597,2024-08-04 11:46:39,2024-08-04 22:06:47,10:20:08.528385,3
11545,575,597,2024-08-04 11:46:39,2024-08-04 22:06:47,10:20:08.528385,3
11544,592,597,2024-08-04 11:46:39,2024-08-04 22:06:47,10:20:08.528385,3
11543,574,558,2024-08-04 11:44:52,2024-08-04 22:06:48,10:21:55.979154,2
11542,572,558,2024-08-04 11:44:52,2024-08-04 22:06:48,10:21:55.979154,2
11541,590,558,2024-08-04 11:44:52,2024-08-04 22:06:48,10:21:55.979154,2
11540,596,525,2024-08-04 11:44:45,2024-08-04 22:06:48,10:22:03.287740,3
11539,575,525,2024-08-04 11:44:45,2024-08-04 22:06:48,10:22:03.287740,3
11538,592,525,2024-08-04 11:44:45,2024-08-04 22:06:47,10:22:02.787433,3
11537,596,524,2024-08-04 11:44:43,2024-08-04 22:06:48,10:22:05.477730,3
11536,575,524,2024-08-04 11:44:43,2024-08-04 22:06:48,10:22:05.477730,3
