id,ballkid,year,duration,count
1490941,595,2024,17:50:09.846838,5
1490164,684,2024,"2 days, 2:26:16.041619",5
1490163,678,2024,"2 days, 6:32:37.869406",6
1490162,575,2024,"4 days, 9:16:53.470666",9
1490161,574,2024,"3 days, 9:12:46.588587",8
1490160,616,2024,"3 days, 4:41:54.447299",9
1490159,656,2024,"3 days, 11:07:14.351863",7
1490158,664,2024,"2 days, 8:46:45.218163",5
1490157,528,2024,"4 days, 2:11:25.587941",9
1490156,683,2024,"2 days, 9:22:51.855387",6
1490155,583,2024,"3 days, 11:07:02.363399",7
1490154,657,2024,"1 day, 9:16:05.132855",4
1490153,668,2024,"2 days, 23:46:35.510720",7
1490152,650,2024,"1 day, 18:05:40.179417",4
1490151,552,2024,"3 days, 11:59:57.228657",9
1490150,644,2024,"1 day, 11:50:04.713583",4
1490149,647,2024,"1 day, 3:30:46.679016",5
1490148,635,2024,"4 days, 12:41:20.924752",9
1490147,623,2024,11:58:45.204352,2
1490146,565,2024,"3 days, 1:50:14.606985",7
1490145,665,2024,"1 day, 15:53:13.091500",5
1490144,680,2024,"3 days, 2:46:49.653024",7
1490143,634,2024,"2 days, 16:32:31.733526",6
1490142,661,2024,"2 days, 14:06:08.907392",7
1490141,551,2024,"4 days, 14:41:01.779871",9
1490140,624,2024,"1 day, 3:14:13.188204",4
1490139,654,2024,"2 days, 12:37:44.826828",6
1490138,672,2024,"2 days, 12:17:52.265394",5
1490137,658,2024,0:00:00,0
1490136,670,2024,"3 days, 9:25:21.178821",7
1490135,643,2024,"2 days, 15:40:15.802940",7
1490134,639,2024,"1 day, 10:58:18.386884",5
1490133,523,2024,14:42:12.178778,2
1490132,655,2024,16:38:43.488630,2
1490131,640,2024,"2 days, 6:11:48.387424",6
1490130,662,2024,"2 days, 6:14:08.136015",6
1490129,677,2024,14:06:30.032491,2
1490128,562,2024,"2 days, 15:37:42.436649",7
1490127,543,2024,0:00:00,0
1490126,666,2024,"1 day, 5:41:58.584774",5
1490125,532,2024,"1 day, 19:10:01.646202",4
1490124,513,2024,"4 days, 16:56:04.977820",9
1490123,673,2024,"3 days, 0:39:08.627549",7
1490122,529,2024,21:55:19.228523,3
1490121,649,2024,"2 days, 15:50:29.090263",6
1490120,572,2024,"4 days, 1:37:29.492537",9
1490119,518,2024,"4 days, 14:07:32.512856",9
1490118,537,2024,0:00:00,0
1490117,681,2024,"3 days, 5:28:30.041452",7
1490116,511,2024,"1 day, 5:07:57.425925",3
1490115,539,2024,4:56:56.096640,1
1490114,533,2024,0:00:00,0
1490113,525,2024,"4 days, 5:10:46.279909",9
1490112,629,2024,"2 days, 14:20:22.479211",6
1490111,524,2024,"4 days, 3:11:56.546222",9
1490110,663,2024,"2 days, 8:30:05.751513",5
1490109,675,2024,"2 days, 17:15:08.051344",6
1490108,614,2024,"2 days, 1:19:25.248148",7
1490107,558,2024,"3 days, 8:25:00.739601",8
1490106,669,2024,"1 day, 22:34:42.332543",4
1490105,617,2024,"2 days, 3:24:05.722515",6
1490104,590,2024,"3 days, 7:02:48.661239",8
1490103,613,2024,"3 days, 19:01:12.104857",8
1490102,514,2024,"3 days, 16:26:31.737448",9
1490101,674,2024,"3 days, 4:08:20.272243",7
1490100,519,2024,15:59:07.402817,2
1490099,648,2024,"1 day, 17:51:30.075324",4
1490098,620,2024,"4 days, 17:47:55.719510",9
1490097,618,2024,"1 day, 10:23:34.205636",3
1490096,594,2024,"1 day, 17:27:14.277300",4
1490095,625,2024,0:00:00,0
1490094,622,2024,"2 days, 17:49:13.164111",6
1490093,626,2024,"4 days, 9:38:19.647330",9
1490092,651,2024,0:00:00,0
1490091,598,2024,0:00:00,0
1490090,536,2024,"4 days, 18:04:03.730028",9
1490089,646,2024,0:00:00,0
1490088,682,2024,"2 days, 18:44:16.361008",6
1490087,609,2024,"1 day, 4:59:51.274200",4
1490086,659,2024,"2 days, 0:46:53.416363",5
1490085,645,2024,6:35:00.555398,1
1490084,632,2024,"1 day, 4:34:14.288035",5
1490083,580,2024,0:00:00,0
1490082,679,2024,"2 days, 17:54:27.485874",7
1490081,667,2024,"1 day, 7:00:12.823730",5
1490080,520,2024,"4 days, 7:12:48.011124",9
1490079,517,2024,4:06:12.150567,1
1490078,676,2024,"2 days, 13:31:18.296616",7
1490077,619,2024,"2 days, 20:59:11.889130",7
1490076,627,2024,18:21:24.982428,3
1490075,615,2024,"1 day, 23:09:57.243618",4
1490074,604,2024,1:40:05.385698,1
1490073,584,2024,"2 days, 2:42:20.667500",7
1490072,628,2024,"3 days, 15:47:44.214755",7
1490071,554,2024,"4 days, 0:00:47.692533",9
1490070,636,2024,"2 days, 13:00:41.018541",8
1490069,596,2024,"3 days, 17:01:53.223753",9
1490068,542,2024,"1 day, 1:08:07.919142",4
