id,ballkid,start,end,duration,is_first_checkin
3697,626,2024-08-04 12:22:45,2024-08-04 22:06:48,9:44:02.227156,1
3696,597,2024-08-04 11:46:25,2024-08-04 22:06:47,10:20:21.943508,1
3695,558,2024-08-04 11:44:32,2024-08-04 22:06:48,10:22:15.100061,1
3694,525,2024-08-04 11:44:29,2024-08-04 22:06:48,10:22:18.960582,1
3693,524,2024-08-04 11:44:22,2024-08-04 22:06:48,10:22:26.071907,1
3692,575,2024-08-04 11:07:18,2024-08-04 22:06:48,10:59:30.528270,1
3691,536,2024-08-04 11:03:35,2024-08-04 22:06:48,11:03:13.101315,1
3690,590,2024-08-04 10:59:40,2024-08-04 22:06:48,11:07:07.924883,1
3689,556,2024-08-04 10:59:30,2024-08-04 15:24:45,4:25:14.948025,1
3688,562,2024-08-04 10:56:53,2024-08-04 22:06:48,11:09:55.168500,1
3687,554,2024-08-04 10:53:37,2024-08-04 22:06:47,11:13:10.521443,1
3686,528,2024-08-04 10:51:06,2024-08-04 22:06:48,11:15:42.607976,1
3685,596,2024-08-04 10:46:37,2024-08-04 22:06:48,11:20:11.044127,1
3684,514,2024-08-04 10:46:16,2024-08-04 22:06:48,11:20:32.047551,1
3683,572,2024-08-04 10:40:54,2024-08-04 22:06:48,11:25:53.958165,1
3682,591,2024-08-04 10:38:19,2024-08-04 22:06:47,11:28:28.254849,1
3681,592,2024-08-04 10:38:15,2024-08-04 22:06:47,11:28:32.474391,1
3680,534,2024-08-04 10:38:06,2024-08-04 22:06:47,11:28:40.830437,1
3679,616,2024-08-04 10:37:15,2024-08-04 13:44:07,3:06:52.213308,1
3678,574,2024-08-04 10:35:40,2024-08-04 22:06:48,11:31:08.719787,1
3677,518,2024-08-04 10:35:15,2024-08-04 22:06:48,11:31:32.969105,1
3676,552,2024-08-04 10:33:56,2024-08-04 22:06:48,11:32:52.371588,1
3675,521,2024-08-04 10:33:26,2024-08-04 22:06:47,11:33:21.163514,1
3674,515,2024-08-04 10:33:16,2024-08-04 22:06:47,11:33:30.976752,1
3673,635,2024-08-04 10:33:10,2024-08-04 22:06:48,11:33:38.304310,1
3672,620,2024-08-04 10:30:21,2024-08-04 22:06:48,11:36:26.964868,1
3671,551,2024-08-04 10:30:06,2024-08-04 22:06:48,11:36:42.151125,1
3670,520,2024-08-04 10:30:01,2024-08-04 22:06:48,11:36:46.246890,1
3669,513,2024-08-04 10:29:59,2024-08-04 22:06:48,11:36:48.792266,1
3668,590,2024-08-03 13:20:37,2024-08-04 00:22:43,11:02:06.610586,1
3667,562,2024-08-03 12:58:04,2024-08-03 20:43:45,7:45:40.632118,1
3666,556,2024-08-03 12:51:19,2024-08-04 00:22:43,11:31:24.070112,1
3665,554,2024-08-03 12:49:58,2024-08-03 23:50:44,11:00:46.493624,1
3664,591,2024-08-03 12:48:36,2024-08-04 00:22:43,11:34:06.842482,1
3663,558,2024-08-03 12:48:24,2024-08-04 00:22:43,11:34:19.488880,1
3662,525,2024-08-03 12:47:58,2024-08-04 00:22:43,11:34:45.845722,1
3661,524,2024-08-03 12:47:43,2024-08-04 00:22:43,11:35:00.640423,1
3660,536,2024-08-03 12:46:30,2024-08-03 23:50:44,11:04:13.737281,1
3659,592,2024-08-03 12:40:27,2024-08-04 00:22:43,11:42:15.899538,1
3658,574,2024-08-03 12:39:26,2024-08-04 00:22:44,11:43:17.661077,1
3657,597,2024-08-03 12:38:37,2024-08-03 23:50:44,11:12:07.432138,1
3656,596,2024-08-03 12:38:04,2024-08-03 23:23:36,10:45:31.308951,1
3655,514,2024-08-03 12:37:51,2024-08-04 00:22:43,11:44:51.842394,1
3654,518,2024-08-03 12:37:20,2024-08-04 00:22:43,11:45:23.652354,1
3653,620,2024-08-03 12:37:11,2024-08-04 00:22:43,11:45:31.971429,1
3652,552,2024-08-03 12:35:56,2024-08-03 23:50:44,11:14:48.128370,1
3651,520,2024-08-03 12:34:47,2024-08-04 00:22:43,11:47:56.621861,1
3650,535,2024-08-03 12:33:55,2024-08-03 23:50:35,11:16:39.938922,1
3649,643,2024-08-03 12:33:24,2024-08-04 00:22:44,11:49:20.001007,1
3648,513,2024-08-03 12:30:44,2024-08-04 00:22:44,11:51:59.423030,1
3647,534,2024-08-03 12:29:19,2024-08-04 00:22:43,11:53:23.874663,1
3646,515,2024-08-03 12:29:14,2024-08-03 23:50:44,11:21:29.762979,1
3645,528,2024-08-03 12:29:12,2024-08-03 23:20:25,10:51:12.748848,1
3644,575,2024-08-03 12:25:53,2024-08-03 23:50:44,11:24:51.628760,1
3643,616,2024-08-03 12:20:22,2024-08-03 23:20:28,11:00:06.303358,1
3642,626,2024-08-03 12:19:45,2024-08-03 23:50:44,11:30:58.734068,1
3641,572,2024-08-03 12:16:34,2024-08-04 00:22:44,12:06:09.251681,1
3640,521,2024-08-03 11:57:55,2024-08-04 00:22:43,12:24:48.305703,1
3639,551,2024-08-03 11:57:48,2024-08-04 00:22:44,12:24:55.456918,1
3638,549,2024-08-03 11:33:42,2024-08-03 23:50:35,12:16:53.087388,1
3637,635,2024-08-03 11:16:28,2024-08-04 00:22:44,13:06:15.929629,1
3636,599,2024-08-03 11:16:16,2024-08-03 23:50:35,12:34:19.606783,1
3635,636,2024-08-03 11:16:05,2024-08-03 23:50:35,12:34:30.056347,1
3634,577,2024-08-03 11:13:31,2024-08-03 23:50:35,12:37:04.633189,1
3633,619,2024-08-03 11:05:25,2024-08-03 23:40:17,12:34:52.239486,1
3632,583,2024-08-03 11:05:22,2024-08-03 23:50:35,12:45:12.948856,1
3631,613,2024-08-03 11:05:07,2024-08-03 23:50:35,12:45:28.523834,1
3630,629,2024-08-03 11:05:05,2024-08-03 23:50:35,12:45:30.524362,1
3629,679,2024-08-02 20:14:33,2024-08-03 00:33:11,4:18:37.616292,0
3628,636,2024-08-02 17:49:06,2024-08-02 23:07:30,5:18:23.551309,1
3627,599,2024-08-02 17:48:50,2024-08-02 22:31:44,4:42:54.000198,1
3626,558,2024-08-02 17:33:55,2024-08-03 00:33:19,6:59:23.989641,1
3625,668,2024-08-02 15:42:49,2024-08-03 00:33:05,8:50:16.096609,1
3624,676,2024-08-02 15:22:00,2024-08-02 21:09:46,5:47:46.200577,1
3623,629,2024-08-02 13:59:17,2024-08-02 22:22:27,8:23:09.401128,1
3622,662,2024-08-02 13:41:13,2024-08-02 23:05:46,9:24:32.713130,1
3621,590,2024-08-02 12:58:35,2024-08-03 00:33:11,11:34:36.276915,1
3620,640,2024-08-02 12:34:33,2024-08-02 22:09:03,9:34:30.669210,1
3619,643,2024-08-02 12:34:18,2024-08-02 20:54:20,8:20:01.476382,1
3618,656,2024-08-02 11:52:27,2024-08-03 00:33:05,12:40:37.339810,1
3617,514,2024-08-02 11:51:14,2024-08-03 00:33:11,12:41:57.066525,1
3616,552,2024-08-02 11:50:34,2024-08-02 21:14:42,9:24:07.264753,1
3615,597,2024-08-02 11:34:29,2024-08-02 23:05:26,11:30:57.128905,1
3614,565,2024-08-02 11:34:29,2024-08-02 23:12:20,11:37:51.307988,1
3613,584,2024-08-02 11:34:27,2024-08-02 23:12:18,11:37:50.732724,1
3612,649,2024-08-02 11:17:49,2024-08-03 00:33:19,13:15:30.615503,1
3611,684,2024-08-02 11:17:48,2024-08-02 22:19:09,11:01:21.212834,1
3610,577,2024-08-02 11:17:13,2024-08-02 20:54:40,9:37:26.787422,1
3609,556,2024-08-02 11:12:42,2024-08-02 21:36:11,10:23:28.983009,1
3608,596,2024-08-02 11:10:46,2024-08-02 22:15:24,11:04:37.722031,1
3607,525,2024-08-02 11:05:57,2024-08-02 22:26:20,11:20:22.867298,1
3606,524,2024-08-02 11:05:56,2024-08-03 00:33:15,13:27:19.336472,1
3605,535,2024-08-02 11:03:46,2024-08-03 00:33:11,13:29:24.618861,1
3604,674,2024-08-02 11:01:38,2024-08-03 00:33:15,13:31:36.860517,1
3603,572,2024-08-02 11:01:19,2024-08-02 21:01:51,10:00:31.901437,1
3602,554,2024-08-02 11:01:14,2024-08-02 23:11:55,12:10:41.524694,1
3601,536,2024-08-02 11:00:38,2024-08-03 00:33:15,13:32:37.136725,1
3600,621,2024-08-02 10:45:52,2024-08-02 22:26:10,11:40:17.290373,1
3599,583,2024-08-02 10:45:19,2024-08-03 00:33:11,13:47:52.486430,1
3598,515,2024-08-02 10:45:06,2024-08-03 00:33:15,13:48:09.262418,1
3597,635,2024-08-02 10:44:23,2024-08-03 00:33:15,13:48:52.376850,1
3596,551,2024-08-02 10:44:14,2024-08-03 00:33:11,13:48:56.826962,1
