id,ballkid,year,furthest_day,furthest_date,self_cut
320,561,2024,Monday,2024-07-29,1
319,568,2024,Monday,2024-07-29,1
318,655,2024,Monday,2024-07-29,1
317,632,2024,Wednesday,2024-07-31,1
316,564,2024,Thursday,2024-08-01,1
315,649,2024,Friday,2024-08-02,1
314,684,2024,Friday,2024-08-02,1
313,621,2024,Friday,2024-08-02,1
312,662,2024,Friday,2024-08-02,1
311,661,2024,Friday,2024-08-02,1
310,565,2024,Friday,2024-08-02,1
309,584,2024,Friday,2024-08-02,1
308,545,2024,Friday,2024-08-02,1
307,640,2024,Friday,2024-08-02,1
306,681,2024,Friday,2024-08-02,0
305,678,2024,Friday,2024-08-02,0
304,680,2024,Friday,2024-08-02,0
303,668,2024,Friday,2024-08-02,0
302,656,2024,Friday,2024-08-02,0
301,670,2024,Friday,2024-08-02,0
300,676,2024,Friday,2024-08-02,0
299,679,2024,Friday,2024-08-02,0
298,673,2024,Friday,2024-08-02,0
297,622,2024,Friday,2024-08-02,0
296,674,2024,Friday,2024-08-02,0
295,614,2024,Friday,2024-08-02,0
294,617,2024,Friday,2024-08-02,0
293,628,2024,Friday,2024-08-02,0
290,682,2024,Thursday,2024-08-01,1
289,609,2024,Thursday,2024-08-01,1
288,624,2024,Thursday,2024-08-01,1
287,582,2024,Thursday,2024-08-01,1
286,639,2024,Thursday,2024-08-01,1
285,648,2024,Thursday,2024-08-01,1
284,634,2024,Thursday,2024-08-01,1
283,542,2024,Thursday,2024-08-01,1
282,595,2024,Thursday,2024-08-01,1
281,611,2024,Thursday,2024-08-01,1
280,544,2024,Thursday,2024-08-01,1
279,654,2024,Thursday,2024-08-01,1
278,660,2024,Thursday,2024-08-01,1
277,659,2024,Thursday,2024-08-01,1
276,650,2024,Thursday,2024-08-01,1
275,615,2024,Thursday,2024-08-01,1
274,683,2024,Thursday,2024-08-01,1
273,623,2024,Thursday,2024-08-01,0
272,667,2024,Thursday,2024-08-01,0
271,627,2024,Thursday,2024-08-01,0
270,669,2024,Thursday,2024-08-01,0
269,675,2024,Thursday,2024-08-01,0
268,594,2024,Thursday,2024-08-01,0
267,560,2024,Thursday,2024-08-01,0
266,612,2024,Thursday,2024-08-01,0
265,630,2024,Thursday,2024-08-01,1
264,672,2024,Wednesday,2024-07-31,1
263,532,2024,Wednesday,2024-07-31,1
262,647,2024,Wednesday,2024-07-31,1
261,511,2024,Wednesday,2024-07-31,1
260,571,2024,Wednesday,2024-07-31,1
259,677,2024,Wednesday,2024-07-31,0
258,665,2024,Wednesday,2024-07-31,1
257,666,2024,Wednesday,2024-07-31,1
256,664,2024,Wednesday,2024-07-31,1
255,663,2024,Wednesday,2024-07-31,1
251,523,2024,Tuesday,2024-07-30,0
248,529,2024,Tuesday,2024-07-30,1
245,517,2024,Tuesday,2024-07-30,1
243,657,2024,Tuesday,2024-07-30,1
227,519,2023,Saturday,2023-08-05,0
226,514,2023,Saturday,2023-08-05,0
225,528,2023,Saturday,2023-08-05,0
224,613,2023,Saturday,2023-08-05,0
223,632,2023,Saturday,2023-08-05,0
222,637,2023,Saturday,2023-08-05,0
221,639,2023,Saturday,2023-08-05,0
220,623,2023,Saturday,2023-08-05,0
219,611,2023,Saturday,2023-08-05,0
218,617,2023,Saturday,2023-08-05,0
217,616,2023,Saturday,2023-08-05,0
216,634,2023,Saturday,2023-08-05,0
215,609,2023,Saturday,2023-08-05,0
214,615,2023,Saturday,2023-08-05,0
213,619,2023,Saturday,2023-08-05,0
212,620,2023,Saturday,2023-08-05,0
211,624,2023,Saturday,2023-08-05,0
210,629,2023,Saturday,2023-08-05,0
209,536,2023,Saturday,2023-08-05,0
208,626,2023,Saturday,2023-08-05,0
207,598,2023,Saturday,2023-08-05,0
206,628,2023,Saturday,2023-08-05,0
205,571,2023,Saturday,2023-08-05,0
204,595,2023,Saturday,2023-08-05,0
203,566,2023,Saturday,2023-08-05,0
202,575,2023,Saturday,2023-08-05,0
201,588,2023,Saturday,2023-08-05,0
200,584,2023,Saturday,2023-08-05,0
199,518,2023,Saturday,2023-08-05,0
198,547,2023,Saturday,2023-08-05,0
197,544,2023,Saturday,2023-08-05,0
196,515,2023,Saturday,2023-08-05,0
195,532,2023,Saturday,2023-08-05,0
194,548,2023,Saturday,2023-08-05,0
193,621,2023,Thursday,2023-08-03,0
192,560,2023,Thursday,2023-08-03,0
191,631,2023,Thursday,2023-08-03,0
190,545,2023,Thursday,2023-08-03,0
189,538,2023,Thursday,2023-08-03,0
188,542,2023,Thursday,2023-08-03,0
187,535,2023,Thursday,2023-08-03,0
186,606,2023,Thursday,2023-08-03,0
185,612,2023,Thursday,2023-08-03,0
184,607,2023,Thursday,2023-08-03,0
183,517,2023,Wednesday,2023-08-02,0
182,622,2023,Wednesday,2023-08-02,0
181,614,2023,Wednesday,2023-08-02,0
180,633,2023,Wednesday,2023-08-02,0
179,541,2023,Wednesday,2023-08-02,0
178,627,2023,Wednesday,2023-08-02,0
176,630,2023,Wednesday,2023-08-02,0
175,564,2023,Wednesday,2023-08-02,0
174,537,2023,Wednesday,2023-08-02,0
173,512,2023,Wednesday,2023-08-02,0
172,522,2023,Wednesday,2023-08-02,0
170,546,2023,Wednesday,2023-08-02,0
169,529,2023,Wednesday,2023-08-02,0
168,605,2023,Wednesday,2023-08-02,0
167,577,2023,Wednesday,2023-08-02,0
166,523,2023,Wednesday,2023-08-02,0
165,610,2023,Wednesday,2023-08-02,0
164,618,2023,Wednesday,2023-08-02,0
163,608,2023,Wednesday,2023-08-02,0
162,579,2023,Wednesday,2023-08-02,0
161,640,2023,Wednesday,2023-08-02,0
160,511,2023,Wednesday,2023-08-02,0
159,568,2023,Wednesday,2023-08-02,0
158,561,2023,Wednesday,2023-08-02,0
157,516,2023,Wednesday,2023-08-02,0
156,533,2023,Monday,2023-07-31,0
155,540,2023,Sunday,2023-07-30,0
154,576,2023,Saturday,2023-07-29,0
153,526,2023,Saturday,2023-07-29,0
150,522,2022,Wednesday,2022-08-03,0
149,527,2022,Friday,2022-08-05,0
148,547,2022,Friday,2022-08-05,0
147,520,2022,Saturday,2022-08-06,0
146,534,2022,Friday,2022-08-05,0
145,558,2022,Saturday,2022-08-06,0
144,588,2022,Thursday,2022-08-04,0
143,543,2022,Saturday,2022-08-06,0
142,598,2022,Thursday,2022-08-04,0
141,512,2022,Wednesday,2022-08-03,0
140,535,2022,Friday,2022-08-05,0
139,562,2022,Monday,2022-08-01,0
138,561,2022,Wednesday,2022-08-03,0
137,568,2022,Wednesday,2022-08-03,0
136,526,2022,Tuesday,2022-08-02,0
135,531,2022,Friday,2022-08-05,0
134,521,2022,Thursday,2022-08-04,0
133,551,2022,Saturday,2022-08-06,0
132,541,2022,Wednesday,2022-08-03,0
131,536,2022,Saturday,2022-08-06,0
130,549,2022,Friday,2022-08-05,0
129,567,2022,Thursday,2022-08-04,0
128,542,2022,Thursday,2022-08-04,0
127,577,2022,Monday,2022-08-01,0
126,574,2022,Wednesday,2022-08-03,0
125,546,2022,Thursday,2022-08-04,0
124,518,2022,Thursday,2022-08-04,0
123,555,2022,Saturday,2022-08-06,0
122,559,2022,Friday,2022-08-05,0
121,515,2022,Friday,2022-08-05,0
120,538,2022,Monday,2022-08-01,0
119,564,2022,Tuesday,2022-08-02,0
118,576,2022,Tuesday,2022-08-02,0
117,525,2022,Saturday,2022-08-06,0
116,524,2022,Saturday,2022-08-06,0
115,544,2022,Tuesday,2022-08-02,0
114,548,2022,Friday,2022-08-05,0
113,554,2022,Saturday,2022-08-06,0
112,566,2022,Monday,2022-08-01,0
111,552,2022,Saturday,2022-08-06,0
