id,ballkid,year,match_type,position
94,518,2024,Women's Singles,Back
93,596,2024,Men's Singles,Back
92,575,2024,Men's Singles,Net
91,574,2024,Women's Singles,Net
90,616,2024,Men's Doubles,Back
89,536,2024,Men's Singles,Back
88,551,2024,Men's Doubles,Net
87,552,2024,Men's Doubles,Net
86,528,2024,Women's Singles,Back
85,583,2024,Women's Doubles,Back
84,635,2024,Men's Singles,Net
83,629,2024,Women's Doubles,Net
82,524,2024,Men's Singles,Back
81,562,2024,Men's Doubles,Net
80,572,2024,Women's Singles,Net
79,513,2024,Men's Singles,Back
78,525,2024,Men's Singles,Back
77,514,2024,Men's Doubles,Back
76,590,2024,Women's Singles,Net
75,520,2024,Women's Singles,Back
74,626,2024,Women's Singles,Net
73,620,2024,Women's Singles,Back
72,613,2024,Women's Doubles,Back
71,619,2024,Women's Doubles,Back
70,558,2024,Women's Singles,Back
69,554,2024,Men's Singles,Back
68,535,2024,Women's Doubles,Back
67,592,2024,Men's Singles,Net
66,591,2024,Men's Doubles,Back
65,636,2024,Women's Doubles,Back
64,521,2024,Men's Doubles,Back
63,556,2024,Men's Doubles,Back
62,534,2024,Women's Singles,Back
61,599,2024,Women's Doubles,Net
60,577,2024,Women's Doubles,Back
59,515,2024,Men's Doubles,Back
58,597,2024,Men's Singles,Net
57,549,2024,Women's Doubles,Net
56,597,2022,Men's Doubles,Net
55,570,2022,Men's Doubles,Net
54,653,2022,Men's Doubles,Back
53,639,2022,Men's Doubles,Back
52,565,2022,Men's Doubles,Back
51,584,2022,Men's Doubles,Back
50,571,2022,Men's Doubles,Back
49,596,2022,Men's Doubles,Back
48,592,2022,Men's Singles,Net
47,595,2022,Men's Singles,Net
46,587,2022,Men's Singles,Net
45,575,2022,Men's Singles,Net
44,589,2022,Men's Singles,Back
43,572,2022,Men's Singles,Back
42,582,2022,Men's Singles,Back
41,593,2022,Men's Singles,Back
40,581,2022,Men's Singles,Back
39,594,2022,Men's Singles,Back
38,590,2022,Women's Singles,Net
37,648,2022,Women's Singles,Net
36,599,2022,Women's Singles,Net
35,557,2022,Women's Singles,Back
34,556,2022,Women's Singles,Back
33,644,2022,Women's Singles,Back
32,558,2022,Women's Singles,Back
31,553,2022,Women's Singles,Back
30,580,2023,Men's Singles,Net
29,590,2023,Men's Singles,Net
28,592,2023,Men's Singles,Net
27,599,2023,Men's Singles,Net
26,553,2023,Men's Singles,Back
25,556,2023,Men's Singles,Back
24,565,2023,Men's Singles,Back
23,578,2023,Men's Singles,Back
22,591,2023,Men's Singles,Back
21,594,2023,Women's Singles,Back
20,552,2023,Women's Singles,Net
19,574,2023,Women's Singles,Net
18,587,2023,Women's Singles,Net
17,597,2023,Women's Singles,Net
16,520,2023,Women's Singles,Back
15,525,2023,Women's Singles,Back
14,524,2023,Women's Singles,Back
13,557,2023,Women's Singles,Back
12,581,2023,Women's Singles,Back
11,596,2023,Women's Singles,Back
10,550,2023,Men's Doubles,Net
9,549,2023,Men's Doubles,Net
8,562,2023,Men's Doubles,Net
7,572,2023,Men's Doubles,Net
6,513,2023,Men's Doubles,Back
5,554,2023,Men's Doubles,Back
4,583,2023,Men's Doubles,Back
3,582,2023,Men's Doubles,Back
2,644,2023,Men's Doubles,Back
1,593,2023,Men's Doubles,Back
