id,created_at,ratee,rater,date,rating,athleticism_rating,rolling_rating,awareness_rating,decision_rating,effort_rating,comments,status
3278,2024-08-02 21:46:59,614,577,2024-08-02,4.0,4.0,4.0,4.5,4.0,4.5,"jonathan is really good, just a little fumbly sometimes today",Complete
3277,2024-08-02 21:44:09,616,577,2024-08-02,4.0,4.0,,4.0,4.0,4.5,nothing showy but solid,Complete
3276,2024-08-02 21:42:05,674,577,2024-08-02,4.0,4.0,4.0,4.0,4.0,4.5,"luke is solid, he could just work on being more ready all the time/facilitating the court after each point at the net",Complete
3275,2024-08-02 21:38:47,515,577,2024-08-02,4.0,4.5,4.0,4.0,4.0,4.5,"luke is on the verge of being a 4.5 for me, just some professionalism on the court like running off and on could help but he really tries to get better",Complete
3274,2024-08-02 21:34:19,592,577,2024-08-02,4.5,4.0,3.5,4.5,5.0,5.0,we’re working on being a little more encouraging during team huddles :) but he gave it his all out there today,Complete
3273,2024-08-02 21:27:35,520,577,2024-08-02,4.5,5.0,4.0,4.0,4.5,5.0,it runs in the family,Complete
3272,2024-08-02 20:50:07,513,574,2024-08-02,4.5,3.5,4.0,5.0,5.0,4.5,,Complete
3271,2024-08-02 20:49:43,534,574,2024-08-02,4.5,4.0,4.5,5.0,5.0,4.5,Really a standout for me this year. Just very solid every day and doesn't make mistakes.,Complete
3270,2024-08-02 20:48:41,556,574,2024-08-02,4.0,3.0,3.5,4.0,4.0,4.5,Solid performance at net. Always thinking ahead and very aware on court.,Complete
3269,2024-08-02 20:48:13,668,574,2024-08-02,3.5,2.5,4.0,3.5,3.5,4.0,Fit in really well with a mostly veteran team today.,Complete
3268,2024-08-02 20:47:01,583,574,2024-08-02,3.0,2.0,2.0,3.5,4.5,3.5,Judie W's only.,Complete
3267,2024-08-02 20:34:17,662,574,2024-08-02,4.0,4.5,4.0,3.5,4.0,4.5,Great rookie net. Great effort all week. Today he didn't recognize we needed a sixth ball. Does all the basic stuff well.,Complete
3266,2024-08-02 20:33:16,661,574,2024-08-02,3.0,3.0,3.0,2.5,3.5,3.5,Somewhat of a lack of awareness at net. Very solid for rookie net though. Definite potential.,Complete
3265,2024-08-02 20:16:07,565,574,2024-08-02,4.5,4.0,4.5,4.5,4.0,4.5,He was pegging balls at his father when balancing with him. Besides that he was great.,Complete
3264,2024-08-02 20:15:22,584,574,2024-08-02,3.0,1.5,2.5,3.5,4.0,3.5,Fairly good awareness. Always gives solid effort on court.,Complete
3263,2024-08-02 19:44:53,554,574,2024-08-02,4.5,4.5,3.5,5.0,5.0,4.5,"Rolls are actually quite bouncy. For someone of his caliber, they are a surprising weakness. Probably the best back partner I have worked with this tournament, despite that.",Complete
3262,2024-08-02 19:43:50,635,574,2024-08-02,4.5,4.0,4.0,5.0,5.0,4.5,"Always knows what is going on. Rolls are fine and very smooth, but I have yet to see her ability to roll fast when needed.",Complete
3261,2024-08-02 19:42:19,656,574,2024-08-02,4.5,4.5,4.0,4.0,4.0,5.0,Just really solid. Very fast and gives good effort. Knows what is going on.,Complete
3260,2024-08-02 16:50:45,535,596,2024-08-02,4.0,4.0,4.0,4.0,4.0,4.0,,Complete
3259,2024-08-02 16:50:37,584,596,2024-08-01,4.0,4.0,4.0,4.0,4.0,4.0,,Complete
3258,2024-08-02 16:50:23,565,596,2024-08-01,4.0,4.0,4.0,4.0,4.0,4.0,,Complete
