id,ballkid,team,start,end,duration
5722,626,2,2024-08-04 12:23:19,2024-08-04 22:06:48,9:43:29.030377
5721,597,3,2024-08-04 11:46:39,2024-08-04 22:06:47,10:20:08.519385
5720,558,2,2024-08-04 11:44:52,2024-08-04 22:06:48,10:21:55.975510
5719,525,3,2024-08-04 11:44:45,2024-08-04 22:06:48,10:22:03.280418
5718,524,3,2024-08-04 11:44:43,2024-08-04 22:06:48,10:22:05.471747
5717,635,3,2024-08-04 11:44:12,2024-08-04 22:06:48,10:22:35.865173
5716,551,1,2024-08-04 11:44:05,2024-08-04 22:06:48,10:22:43.051972
5715,552,1,2024-08-04 11:44:02,2024-08-04 22:06:48,10:22:45.830689
5714,562,1,2024-08-04 11:43:59,2024-08-04 22:06:48,10:22:49.424910
5713,575,3,2024-08-04 11:43:53,2024-08-04 22:06:48,10:22:55.870426
5712,574,2,2024-08-04 11:31:40,2024-08-04 22:06:48,10:35:08.599695
5711,574,2,2024-08-04 11:31:40,,0:00:00
5710,592,3,2024-08-04 11:31:15,2024-08-04 22:06:47,10:35:32.722413
5709,620,2,2024-08-04 11:31:05,2024-08-04 22:06:48,10:35:42.596043
5708,616,1,2024-08-04 11:30:59,2024-08-04 13:44:07,2:13:07.925114
5707,513,3,2024-08-04 11:30:55,2024-08-04 22:06:48,10:35:53.241637
5706,520,2,2024-08-04 11:30:47,2024-08-04 22:06:48,10:36:00.629887
5705,534,2,2024-08-04 11:30:41,2024-08-04 22:06:47,10:36:05.728920
5704,514,1,2024-08-04 11:30:35,2024-08-04 22:06:48,10:36:12.792124
5703,521,1,2024-08-04 11:30:32,2024-08-04 22:06:47,10:36:15.453571
5702,528,2,2024-08-04 11:30:25,2024-08-04 22:06:48,10:36:22.755896
5701,536,3,2024-08-04 11:30:20,2024-08-04 22:06:48,10:36:28.627717
5700,518,2,2024-08-04 11:30:15,2024-08-04 22:06:48,10:36:33.091642
5699,515,1,2024-08-04 11:30:08,2024-08-04 22:06:47,10:36:39.162046
5698,556,1,2024-08-04 11:30:05,2024-08-04 15:24:45,3:54:40.111406
5697,572,2,2024-08-04 11:29:58,2024-08-04 22:06:48,10:36:50.328401
5696,590,2,2024-08-04 11:29:52,2024-08-04 22:06:48,10:36:55.828239
5695,596,3,2024-08-04 11:29:40,2024-08-04 22:06:48,10:37:08.528382
5694,554,3,2024-08-04 11:29:38,2024-08-04 22:06:47,10:37:09.121542
5693,596,2,2024-08-04 11:29:31,2024-08-04 11:29:40,0:00:08.442852
5692,591,1,2024-08-04 11:29:00,2024-08-04 22:06:47,10:37:47.076808
5691,514,2,2024-08-03 13:24:39,2024-08-04 00:22:43,10:58:04.291444
5690,616,3,2024-08-03 13:24:33,2024-08-03 23:20:28,9:55:55.415872
5689,558,4,2024-08-03 13:24:31,2024-08-04 00:22:43,10:58:11.888515
5688,590,4,2024-08-03 13:21:05,2024-08-04 00:22:43,11:01:38.247435
5687,514,4,2024-08-03 13:12:19,2024-08-03 13:24:39,0:12:19.780862
5686,528,3,2024-08-03 13:11:54,2024-08-03 23:20:25,10:08:30.665524
5685,596,3,2024-08-03 13:11:41,2024-08-03 23:23:36,10:11:54.414494
5684,591,4,2024-08-03 13:11:40,2024-08-04 00:22:43,11:11:03.500197
5683,556,2,2024-08-03 13:05:46,2024-08-04 00:22:43,11:16:57.487630
5682,626,3,2024-08-03 13:05:43,2024-08-03 23:50:44,10:45:00.751668
5681,556,3,2024-08-03 13:05:01,2024-08-03 13:05:05,0:00:04.387054
5680,536,3,2024-08-03 13:03:56,2024-08-03 23:50:44,10:46:48.372240
5679,562,2,2024-08-03 13:01:18,2024-08-03 20:43:45,7:42:26.551529
5678,514,3,2024-08-03 12:59:45,2024-08-03 13:12:19,0:12:34.199574
5677,528,4,2024-08-03 12:59:43,2024-08-03 13:11:54,0:12:10.613312
5676,513,2,2024-08-03 12:59:36,2024-08-04 00:22:44,11:23:07.508372
5675,554,3,2024-08-03 12:59:21,2024-08-03 23:50:44,10:51:22.917981
5674,521,4,2024-08-03 12:59:20,2024-08-04 00:22:43,11:23:23.300432
5673,534,4,2024-08-03 12:59:12,2024-08-04 00:22:43,11:23:31.269270
5672,616,2,2024-08-03 12:59:06,2024-08-03 13:24:33,0:25:26.598247
5671,515,3,2024-08-03 12:58:56,2024-08-03 23:50:44,10:51:47.903492
5670,558,3,2024-08-03 12:57:02,2024-08-03 13:24:31,0:27:29.153124
5669,520,2,2024-08-03 12:56:20,2024-08-04 00:22:43,11:26:23.586714
5668,536,3,2024-08-03 12:55:53,2024-08-03 13:03:46,0:07:52.965866
5667,524,4,2024-08-03 12:55:39,2024-08-04 00:22:43,11:27:04.377147
5666,525,4,2024-08-03 12:55:36,2024-08-04 00:22:44,11:27:07.496820
5665,518,2,2024-08-03 12:55:27,2024-08-04 00:22:43,11:27:16.913842
5664,620,2,2024-08-03 12:55:21,2024-08-04 00:22:43,11:27:22.181588
5663,626,2,2024-08-03 12:55:07,2024-08-03 13:05:43,0:10:36.687453
5662,551,4,2024-08-03 12:55:02,2024-08-04 00:22:44,11:27:41.451611
5661,591,3,2024-08-03 12:54:41,2024-08-03 13:11:40,0:16:58.583723
5660,551,2,2024-08-03 12:54:05,2024-08-03 12:55:02,0:00:56.828081
5659,552,3,2024-08-03 12:53:57,2024-08-03 23:50:44,10:56:47.319092
5658,572,4,2024-08-03 12:53:55,2024-08-04 00:22:44,11:28:48.490540
5657,626,4,2024-08-03 12:53:47,2024-08-03 12:55:07,0:01:19.310940
5656,574,4,2024-08-03 12:53:46,2024-08-04 00:22:44,11:28:57.778357
5655,592,2,2024-08-03 12:53:20,2024-08-04 00:22:43,11:29:23.083475
5654,592,4,2024-08-03 12:53:05,2024-08-03 12:53:20,0:00:15.103279
5653,575,3,2024-08-03 12:53:01,2024-08-03 23:50:44,10:57:42.953973
5652,572,2,2024-08-03 12:52:57,2024-08-03 12:53:12,0:00:15.236407
5651,643,2,2024-08-03 12:44:18,2024-08-04 00:22:44,11:38:25.483082
5650,596,4,2024-08-03 12:44:14,2024-08-03 13:11:41,0:27:26.928571
5649,597,3,2024-08-03 12:44:07,2024-08-03 23:50:44,11:06:37.564805
5648,535,1,2024-08-03 12:34:08,2024-08-03 23:50:35,11:16:27.500944
5647,549,1,2024-08-03 12:01:18,2024-08-03 23:50:35,11:49:17.293799
5646,635,2,2024-08-03 11:17:27,2024-08-04 00:22:44,13:05:16.752234
5645,599,1,2024-08-03 11:16:20,2024-08-03 23:50:35,12:34:15.130716
5644,636,1,2024-08-03 11:16:19,2024-08-03 23:50:35,12:34:16.714983
5643,577,1,2024-08-03 11:13:59,2024-08-03 23:50:35,12:36:36.521572
5642,613,1,2024-08-03 11:07:57,2024-08-03 23:50:35,12:42:38.192735
5641,629,1,2024-08-03 11:07:56,2024-08-03 23:50:35,12:42:39.565538
5640,619,1,2024-08-03 11:07:54,2024-08-03 23:40:17,12:32:22.710505
5639,583,1,2024-08-03 11:07:49,2024-08-03 23:50:35,12:42:45.955227
5638,514,2,2024-08-02 22:27:41,2024-08-03 00:33:11,2:05:30.115913
5637,535,2,2024-08-02 22:16:54,2024-08-03 00:33:11,2:16:17.024602
5636,626,2,2024-08-02 22:11:24,2024-08-03 00:33:11,2:21:47.000983
5635,551,2,2024-08-02 21:48:50,2024-08-03 00:33:11,2:44:20.703769
5634,635,1,2024-08-02 21:13:30,2024-08-03 00:33:15,3:19:45.159063
5633,524,1,2024-08-02 20:59:40,2024-08-03 00:33:15,3:33:34.953741
5632,591,3,2024-08-02 20:47:52,2024-08-02 20:48:08,0:00:16.815890
5631,679,2,2024-08-02 20:39:40,2024-08-03 00:33:11,3:53:31.215371
5630,620,3,2024-08-02 20:37:40,2024-08-03 00:33:05,3:55:24.185076
5629,528,1,2024-08-02 20:36:10,2024-08-03 00:33:15,3:57:05.047590
5628,673,1,2024-08-02 20:36:08,2024-08-03 00:33:15,3:57:07.276647
5627,626,5,2024-08-02 20:33:36,2024-08-02 22:11:24,1:37:47.554048
5626,679,4,2024-08-02 20:14:39,2024-08-02 20:30:22,0:15:43.045387
5625,536,1,2024-08-02 19:54:28,2024-08-03 00:33:15,4:38:47.071649
5624,636,6,2024-08-02 17:50:47,2024-08-02 20:29:57,2:39:10.536864
5623,599,5,2024-08-02 17:50:41,2024-08-02 22:12:15,4:21:33.986827
5622,558,4,2024-08-02 17:34:18,2024-08-02 20:30:22,2:56:04.492636
5621,597,3,2024-08-02 16:59:19,2024-08-02 23:05:26,6:06:07.599537
5620,668,3,2024-08-02 15:42:58,2024-08-03 00:33:05,8:50:06.859101
5619,676,2,2024-08-02 15:29:39,2024-08-02 21:09:46,5:40:06.603740
5618,629,6,2024-08-02 14:00:10,2024-08-02 20:29:58,6:29:47.696715
5617,629,4,2024-08-02 13:59:44,2024-08-02 13:59:48,0:00:03.591397
5616,556,2,2024-08-02 13:46:38,2024-08-02 21:36:11,7:49:32.927154
5615,513,3,2024-08-02 13:46:36,2024-08-03 00:33:05,10:46:29.058700
5614,662,3,2024-08-02 13:41:22,2024-08-02 23:05:46,9:24:24.029688
5613,613,2,2024-08-02 13:38:28,2024-08-02 21:19:38,7:41:10.119121
5612,556,3,2024-08-02 13:38:26,2024-08-02 13:46:38,0:08:11.409822
5611,613,3,2024-08-02 13:38:08,2024-08-02 13:38:28,0:00:19.353108
5610,590,2,2024-08-02 13:37:49,2024-08-03 00:33:11,10:55:21.860050
5609,574,3,2024-08-02 13:37:36,2024-08-02 17:00:56,3:23:20.331669
5608,534,3,2024-08-02 13:37:28,2024-08-03 00:33:05,10:55:36.744211
5607,554,3,2024-08-02 13:36:57,2024-08-02 23:11:55,9:34:58.225241
5606,590,3,2024-08-02 12:58:47,2024-08-02 13:37:49,0:39:02.430803
5605,640,5,2024-08-02 12:36:51,2024-08-02 22:09:04,9:32:12.309300
5604,643,6,2024-08-02 12:36:24,2024-08-02 20:29:58,7:53:33.521084
5603,552,4,2024-08-02 11:57:13,2024-08-02 20:30:22,8:33:09.859843
5602,656,3,2024-08-02 11:56:37,2024-08-03 00:33:05,12:36:27.325920
5601,552,3,2024-08-02 11:56:26,2024-08-02 11:56:35,0:00:09.569236
5600,514,5,2024-08-02 11:56:06,2024-08-02 22:12:15,10:16:08.903074
5599,597,3,2024-08-02 11:54:33,2024-08-02 15:39:49,3:45:15.365720
5598,565,3,2024-08-02 11:53:36,2024-08-02 23:12:20,11:18:44.010040
5597,584,3,2024-08-02 11:53:34,2024-08-02 23:12:18,11:18:43.758661
5596,518,1,2024-08-02 11:51:49,2024-08-03 00:33:15,12:41:26.058446
5595,554,1,2024-08-02 11:51:40,2024-08-02 13:36:57,1:45:16.590625
5594,513,2,2024-08-02 11:51:20,2024-08-02 13:46:36,1:55:15.332034
5593,574,2,2024-08-02 11:51:16,2024-08-02 13:37:36,1:46:19.203940
